exposure_id	n_instruments	sample_size_min	sample_size_max	pval_min	F_min	F_median	F_max
eqtl-a-ENSG00000091972	5	29827	31684	1.66533e-40	24.6461461617	26.3856783361737	177.545330133794
eqtl-a-ENSG00000101384	4	29863	31355	2.1424e-15	34.0483481597454	48.0057474638218	62.9297901749734
eqtl-a-ENSG00000102699	3	10333	13750	2.54683e-136	27.4293437208732	50.2195430434699	617.543468913485
eqtl-a-ENSG00000117318	2	26616	31567	4.29339e-60	37.9813008503452	152.669000780476	267.356700710607
eqtl-a-ENSG00000119042	2	27774	31569	2.00909e-13	31.1152098519053	42.5541643620528	53.9931188722003
eqtl-a-ENSG00000137393	4	31353	31470	1e-200	24.46094473652	275.620236974294	1432.23964488691
eqtl-a-ENSG00000138036	2	28388	31351	1.71002e-78	93.8960335097897	222.849396974887	351.802760439983
eqtl-a-ENSG00000140416	4	31023	31470	1e-200	79.8726945447345	186.184362414363	1418.32395309301
eqtl-a-ENSG00000158373	16	26161	31684	1e-200	24.4402905737481	73.9637028565508	6019.06655614384
eqtl-a-ENSG00000163041	3	4592	8266	1e-200	28.6879309945367	38.0320903583412	1486.65851289425
eqtl-a-ENSG00000168298	1	20783	20783	1.06611e-15	64.3043734941835	64.3043734941835	64.3043734941835
eqtl-a-ENSG00000170525	8	20072	31470	1.94357e-45	26.0560978018434	38.597018756492	200.143407839354
eqtl-a-ENSG00000180573	8	26161	31684	1.60694e-64	25.0830253738286	40.995379747276	287.66381217767
eqtl-a-ENSG00000184678	5	14263	14263	2.63815e-16	24.1965406189715	46.1296760446393	67.0597636567451
eqtl-a-ENSG00000187837	7	31185	31684	2.11836e-135	28.0423281616687	43.2624130775345	613.323869994958
eqtl-a-ENSG00000189060	15	16723	31470	1e-200	24.6452380508304	56.7987919816203	1477.58611157209
eqtl-a-ENSG00000189223	6	14424	17435	1e-200	24.6255811089824	112.046949407108	3772.63785148016
