,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa00650,0,0.132634025152041,0.952,0.242,0,3,hsa00650
hsa00250,0,0.0902632125362669,0.839,0.258,0,3,hsa00250
hsa00860,0,0.0191464780129223,0.92,0.298,0,3,hsa00860
hsa05321,0,0.0165338478837622,0.859,0.312,0,3,hsa05321
hsa00670,0,0.0160342225668496,0.929,0.536,0,3,hsa00670
hsa00260,4.38629136702888e-262,0.0270718095052098,0.813,0.391,1.36413661514598e-259,3,hsa00260
hsa04727,5.02434226054074e-260,0.0126138256023901,0.875,0.498,1.56257044302817e-257,3,hsa04727
hsa00220,7.6841468234612e-242,0.109261629738422,0.698,0.214,2.38976966209643e-239,3,hsa00220
hsa05418,1.79020897348612e-236,0.0710134530885796,0.852,0.545,5.56754990754184e-234,3,hsa05418
hsa00270,1.07863863169376e-227,0.0291778470735667,0.755,0.351,3.35456614456759e-225,3,hsa00270
hsa04966,7.30756199118658e-214,0.0388551879586327,0.668,0.253,2.27265177925903e-211,3,hsa04966
hsa00790,4.49265384990423e-177,0.00721420499276974,0.82,0.394,1.39721534732021e-174,3,hsa00790
hsa05207,3.59650468556595e-160,0.0206541584843466,0.688,0.356,1.11851295721101e-157,3,hsa05207
hsa00430,3.40118619731924e-145,0.00890672619925234,0.603,0.249,1.05776890736628e-142,3,hsa00430
hsa04744,2.05337532172958e-135,0.00404689991050871,0.529,0.163,6.38599725057899e-133,3,hsa04744
hsa04976,6.04535474151082e-133,0.0221676556962934,0.927,0.762,1.88010532460986e-130,3,hsa04976
hsa04130,9.97658488271302e-118,0.0172619879333838,0.742,0.455,3.10271789852375e-115,3,hsa04130
hsa04713,1.71119442242692e-115,0.0100921475188507,0.58,0.295,5.32181465374771e-113,3,hsa04713
hsa00830,1.20761989111367e-86,0.0031686485994733,0.645,0.218,3.75569786136351e-84,3,hsa00830
hsa00053,1.13094747619409e-85,0.0202836143065246,0.653,0.255,3.51724665096362e-83,3,hsa00053
hsa05034,5.62479401931407e-83,0.00913619870212388,0.589,0.34,1.74931094000668e-80,3,hsa05034
hsa05031,1.19089981089307e-80,0.00880009487309042,0.534,0.239,3.70369841187744e-78,3,hsa05031
hsa04979,7.59085313761633e-73,0.00487517875393519,0.706,0.442,2.36075532579868e-70,3,hsa04979
hsa04721,1.4110103201321e-72,0.010656499133131,0.743,0.478,4.38824209561084e-70,3,hsa04721
hsa05219,1.71665056851302e-68,0.0126093937971952,0.702,0.478,5.33878326807548e-66,3,hsa05219
hsa04916,1.38761560903727e-65,0.00750036298286039,0.685,0.483,4.3154845441059e-63,3,hsa04916
hsa00230,6.39450785669706e-61,0.0114983612985011,0.667,0.519,1.98869194343278e-58,3,hsa00230
hsa04218,5.54830802367247e-60,0.0439743756738913,0.593,0.403,1.72552379536214e-57,3,hsa04218
hsa05226,1.20873000489996e-58,0.012057543415036,0.578,0.389,3.75915031523887e-56,3,hsa05226
hsa05417,2.11458658298262e-55,0.0130651569680477,0.487,0.29,6.57636427307594e-53,3,hsa05417
hsa05133,7.6289244839797e-55,0.00515737361728067,0.548,0.319,2.37259551451769e-52,3,hsa05133
hsa04120,5.96128547382321e-54,0.0402987606922446,0.81,0.63,1.85395978235902e-51,3,hsa04120
hsa04975,2.19624977412446e-51,0.00118263806608428,0.556,0.292,6.83033679752707e-49,3,hsa04975
hsa04912,2.34578045946673e-51,0.00928230999145205,0.519,0.323,7.29537722894152e-49,3,hsa04912
hsa04150,3.37015781270858e-51,0.0105511933057631,0.654,0.459,1.04811907975237e-48,3,hsa04150
hsa00980,1.75588668685115e-50,0.011037867100882,0.623,0.365,5.46080759610707e-48,3,hsa00980
hsa00514,4.43693766904411e-49,0.00729381811809596,0.585,0.355,1.37988761507272e-46,3,hsa00514
hsa05216,1.58358547547282e-47,0.0135741147799237,0.541,0.342,4.92495082872046e-45,3,hsa05216
hsa05163,1.77585295653525e-47,0.0127567755830237,0.59,0.425,5.52290269482461e-45,3,hsa05163
hsa04114,5.36337359901456e-45,0.0169306629736947,0.62,0.434,1.66800918929353e-42,3,hsa04114
hsa04666,8.34793209305534e-45,0.00836769347085955,0.545,0.369,2.59620688094021e-42,3,hsa04666
hsa04068,2.34831310756648e-42,0.0132531543719053,0.492,0.309,7.30325376453175e-40,3,hsa04068
hsa05214,1.30662441460944e-39,0.00932276578135621,0.493,0.253,4.06360192943536e-37,3,hsa05214
hsa00450,2.50358133934301e-38,0.00908478258879867,0.63,0.418,7.78613796535677e-36,3,hsa00450
hsa05202,3.80613007738894e-37,0.0195229828651025,0.587,0.395,1.18370645406796e-34,3,hsa05202
hsa05217,8.42259874565702e-37,0.00395272981971364,0.537,0.345,2.61942820989933e-34,3,hsa05217
hsa04658,1.04188197420212e-36,0.00582007936401419,0.447,0.264,3.2402529397686e-34,3,hsa04658
hsa04720,1.2136375747149e-34,0.00808739646320676,0.469,0.284,3.77441285736334e-32,3,hsa04720
hsa05213,3.79413161503912e-34,0.0127522991476289,0.6,0.442,1.17997493227717e-31,3,hsa05213
hsa00601,5.97326527375847e-33,0.00328951963926832,0.529,0.199,1.85768550013888e-30,3,hsa00601
hsa04110,1.59520672618329e-31,0.0102332025678559,0.728,0.608,4.96109291843003e-29,3,hsa04110
hsa00565,7.57996791949643e-31,0.00369428287482422,0.596,0.41,2.35737002296339e-28,3,hsa00565
hsa04360,1.00908285196544e-30,0.00903771309038132,0.629,0.497,3.13824766961251e-28,3,hsa04360
hsa04512,1.34453842419197e-30,0.00860371101821139,0.429,0.327,4.18151449923702e-28,3,hsa04512
hsa00010,1.7671689406527e-30,0.00441103084079734,0.558,0.341,5.4958954054299e-28,3,hsa00010
hsa04340,3.05718617067827e-30,0.00422583304550739,0.638,0.481,9.50784899080943e-28,3,hsa04340
hsa04742,2.40991750960139e-28,0.00241028252380633,0.121,0.131,7.49484345486032e-26,3,hsa04742
