"","celltype","pvalue","fdr"
1,0,0.00226300286087085,0.0203670257478376
2,1,0.274846238995029,0.274846238995029
3,10,0.180414166242739,0.202965937023081
4,11,0.0526084899742407,0.105216979948481
5,12,0.00652758132542942,0.0234992927715459
6,13,0.000324046148150457,0.00583283066670823
7,14,0.044107822999213,0.105216979948481
8,15,0.083142095075092,0.136050701031969
9,16,0.164086050265139,0.196903260318167
10,17,0.236705694751282,0.250629559148416
11,2,0.103239841190961,0.154859761786442
12,3,0.147517065724273,0.19470190750537
13,4,0.00427010995156906,0.0234992927715459
14,5,0.0654386623403238,0.117789592212583
15,6,0.00636059846791592,0.0234992927715459
16,7,0.0470333322124357,0.105216979948481
17,8,0.151434816948621,0.19470190750537
18,9,0.0293877938388508,0.0881633815165524
