"","celltype","pvalue","fdr"
1,0,0.370924606019218,0.370924606019218
2,1,0.0489847700097947,0.0720404609941615
3,10,0.00960706282578966,0.0385496062826143
4,11,0.122133401352469,0.139581030117107
5,12,0.0311048697706575,0.0561068493446472
6,13,0.0280062448153147,0.0561068493446472
7,14,0.00303231872572917,0.0296606128968298
8,15,0.00814616067208859,0.0385496062826143
9,16,0.0607474725113996,0.0809966300151995
10,17,0.00223134163236173,0.0296606128968298
11,18,0.0167095361065349,0.0501286083196047
12,19,0.0112436351657625,0.0385496062826143
13,2,0.00370757661210372,0.0296606128968298
14,20,0.108019013934534,0.129622816721441
15,21,0.0326861358315113,0.0561068493446472
16,22,0.0297579898947194,0.0561068493446472
17,23,0.0100037977826119,0.0385496062826143
18,3,0.0191143717989309,0.0509716581304824
19,4,0.0350667808404045,0.0561068493446472
20,5,0.149079833794877,0.162632545958048
21,6,0.0345048631943754,0.0561068493446472
22,7,0.318866628414261,0.332730394867055
23,8,0.0510286598708644,0.0720404609941615
24,9,0.0937671817409472,0.118442755883302
