cluster	group	n_cells
0	control	4938
0	diabetes	1433
1	control	1677
1	diabetes	1404
10	control	1088
10	diabetes	557
11	control	985
11	diabetes	490
12	control	752
12	diabetes	658
13	control	792
13	diabetes	566
14	control	575
14	diabetes	340
15	control	486
15	diabetes	405
16	control	542
16	diabetes	224
17	control	403
17	diabetes	353
18	control	388
18	diabetes	340
19	control	321
19	diabetes	200
2	control	2330
2	diabetes	686
20	control	106
20	diabetes	377
21	control	300
21	diabetes	167
22	control	271
22	diabetes	185
23	control	187
23	diabetes	156
3	control	2009
3	diabetes	837
4	control	1976
4	diabetes	704
5	control	1659
5	diabetes	667
6	control	1401
6	diabetes	902
7	control	1613
7	diabetes	591
8	control	1626
8	diabetes	567
9	control	1511
9	diabetes	446
