,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04657.12,1.19056470165034e-13,0.000490100495734403,0.792,0.798,3.70265622213256e-11,12,hsa04657
hsa05418.13,4.96798119388475e-13,0.00145880753738862,0.721,0.656,1.54504215129816e-10,12,hsa05418
hsa04210.13,4.00412298187371e-12,0.000530027993541345,0.424,0.342,1.24528224736272e-09,12,hsa04210
hsa04658.9,1.56509958643775e-11,0.000497367290266233,0.707,0.655,4.8674597138214e-09,12,hsa04658
hsa04216.9,1.87904819921001e-11,0.000334107576642586,0.631,0.561,5.84383989954312e-09,12,hsa04216
hsa00100.8,8.22986332742989e-11,3.54361469589267e-05,0.313,0.192,2.5594874948307e-08,12,hsa00100
hsa04722.12,1.86050532999493e-10,0.000936197025485993,0.73,0.703,5.78617157628422e-08,12,hsa04722
hsa05161.12,1.27434922631137e-09,0.000666910184107057,0.838,0.798,3.96322609382835e-07,12,hsa05161
hsa05032.11,1.32515334311286e-09,0.000132747839343635,0.991,0.966,4.12122689708101e-07,12,hsa05032
hsa05100.13,1.64697239432543e-09,0.000747846570951249,0.361,0.259,5.12208414635208e-07,12,hsa05100
hsa00760.6,1.99877642848282e-09,0.000177862528579271,0.405,0.301,6.21619469258157e-07,12,hsa00760
hsa03430.10,2.65565315557711e-09,4.62956756763294e-05,0.616,0.543,8.2590813138448e-07,12,hsa03430
hsa05224.11,2.74152868722317e-09,0.000509715196923498,0.479,0.381,8.52615421726404e-07,12,hsa05224
hsa03060.7,3.51833353942343e-09,0.00015598159553826,0.48,0.398,1.09420173076069e-06,12,hsa03060
hsa05217.10,5.11008579609648e-09,0.000175654234004942,0.587,0.518,1.589236682586e-06,12,hsa05217
hsa04012.11,5.81714295530046e-09,0.000497241097220379,0.485,0.407,1.80913145909844e-06,12,hsa04012
hsa05020.10,9.08277179053111e-09,0.000382109754415265,0.679,0.607,2.82474202685518e-06,12,hsa05020
hsa03030.11,9.91044456246179e-09,0.000138699695862587,0.53,0.467,3.08214825892562e-06,12,hsa03030
hsa04152.11,1.91940273632719e-08,0.000512128689535335,0.492,0.422,5.96934250997757e-06,12,hsa04152
hsa00512.11,2.71061949169674e-08,0.000350667483991949,0.527,0.475,8.43002661917687e-06,12,hsa00512
hsa05323.9,4.05483559138042e-08,2.0294086271109e-05,0.472,0.394,1.26105386891931e-05,12,hsa05323
hsa00130.13,4.81244970398055e-08,5.58382863953201e-05,0.337,0.285,1.49667185793795e-05,12,hsa00130
hsa04130.11,5.37398335420844e-08,0.000443817226151272,0.771,0.741,1.67130882315882e-05,12,hsa04130
hsa04071.12,9.9280950799716e-08,0.000801639499125814,0.524,0.436,3.08763756987117e-05,12,hsa04071
hsa00770.9,2.49372323636484e-07,0.000646586162347873,0.46,0.412,7.75547926509466e-05,12,hsa00770
hsa05215.12,7.88171534560688e-07,0.000995106497538121,0.682,0.657,0.000245121347248374,12,hsa05215
hsa03320.8,8.74679700430684e-07,0.000146024921391552,0.539,0.489,0.000272025386833943,12,hsa03320
hsa04024.13,4.04383682556678e-06,0.000211675674161686,0.984,0.951,0.00125763325275127,12,hsa04024
hsa03018.8,1.17041072598549e-05,0.000395767971921501,0.485,0.43,0.00363997735781488,12,hsa03018
hsa00531.9,1.29129958970368e-05,5.87554534075201e-05,0.518,0.43,0.00401594172397845,12,hsa00531
hsa00603.11,1.9782162779711e-05,3.67424773586927e-05,0.426,0.327,0.00615225262449012,12,hsa00603
hsa04530.10,6.39175762738258e-05,0.000636831472641938,0.376,0.28,0.0198783662211598,12,hsa04530
