"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.9325674357281,0.553,0.005,0,"15","ENSG00000249669"
0,2.54410648085099,0.357,0.018,0,"15","PDGFRB"
1.38244978459952e-306,3.30536551282702,0.757,0.17,5.43551606308838e-302,"15","CALD1"
5.6406501552045e-282,2.3951473372912,0.262,0.017,2.21779082802331e-277,"15","AEBP1"
7.7901512243093e-257,2.27873966353994,0.317,0.028,3.06293165837393e-252,"15","MEIS1"
3.63557623182929e-235,3.01976071630952,0.294,0.027,1.42943586283064e-230,"15","MGP"
1.64477237644925e-217,2.23633000160899,0.251,0.021,6.46691602972318e-213,"15","COL12A1"
8.24342973343802e-211,1.84403515697656,0.385,0.049,3.24115170259316e-206,"15","MEIS2"
2.98802171450464e-182,2.56023396608266,0.326,0.043,1.17483037770894e-177,"15","A2M"
2.67927646203277e-163,1.68924469697068,0.255,0.028,1.05343791934204e-158,"15","RAPGEF5"
1.1363869109074e-143,1.99665789692065,0.294,0.042,4.4680460563057e-139,"15","NFASC"
4.0286633270075e-142,3.2472428769419,0.3,0.047,1.58398984691281e-137,"15","CCN1"
1.50133207389317e-141,2.16139734230432,0.283,0.041,5.90293744813316e-137,"15","COL6A2"
4.51369536691512e-122,1.75443696117864,0.274,0.044,1.77469474436369e-117,"15","EPB41L2"
1.49414907495084e-106,2.23725647867817,0.47,0.143,5.8746953328917e-102,"15","FLNA"
1.8095345807122e-105,2.08246524179623,0.504,0.168,7.11472806444422e-101,"15","LIMA1"
5.35956934224976e-88,2.24343566620299,0.509,0.199,2.10727547398576e-83,"15","ITGA1"
2.37390388312639e-75,1.66148414518277,0.285,0.066,9.33371528767634e-71,"15","MEG3"
3.42312882608593e-75,2.66236791658083,0.436,0.156,1.34590579184046e-70,"15","FOS"
3.30941367792142e-68,2.35152003968549,0.474,0.197,1.30119526988514e-63,"15","NR4A1"
7.39659319460639e-59,1.87962646561051,0.283,0.082,2.90819251225534e-54,"15","ZEB2"
8.48175489523537e-56,1.56335533483992,0.485,0.222,3.33485638970864e-51,"15","TPM1"
