"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.93880649863789,0.976,0.01,0,"12","PTPRQ"
0,5.90285421604893,0.99,0.095,0,"12","PLA2R1"
0,4.70341253133602,0.955,0.018,0,"12","PTPRO"
0,4.60727585428573,0.949,0.171,0,"12","MAGI2"
0,4.35130030811173,0.965,0.218,0,"12","MAGI2-AS3"
0,4.27613233121422,0.921,0.065,0,"12","ALS2CL"
0,3.5997335527241,0.892,0.075,0,"12","PODXL"
0,3.54886257368325,0.809,0.011,0,"12","NTNG1"
0,3.48863454366429,0.83,0.032,0,"12","CLIC5"
0,3.47083052160542,0.878,0.099,0,"12","ZDHHC6"
0,3.29165010298947,0.963,0.287,0,"12","VEGFA"
0,3.24870274253524,0.825,0.023,0,"12","NFASC"
0,3.16629508078246,0.782,0.038,0,"12","PTGDS"
0,3.03300718807842,0.857,0.053,0,"12","PLCE1"
0,2.97058246462579,0.734,0.007,0,"12","TARID"
0,2.95525145762532,0.731,0.012,0,"12","NPHS2"
0,2.91762406329438,0.636,0.013,0,"12","FGF1"
0,2.89924213480615,0.733,0.009,0,"12","NPHS1"
0,2.79979394590748,0.948,0.319,0,"12","COL4A3"
0,2.75463936463393,0.758,0.046,0,"12","SRGAP2"
0,2.74611135780747,0.707,0.012,0,"12","TYRO3"
0,2.7319470991944,0.768,0.065,0,"12","SRGAP2B"
0,2.7310267534009,0.812,0.109,0,"12","ST3GAL6"
0,2.68635432144529,0.653,0.006,0,"12","CR1"
0,2.62851448400316,0.905,0.161,0,"12","MME"
0,2.62449795311547,0.7,0.031,0,"12","SRGAP2C"
0,2.60263452165047,0.758,0.076,0,"12","RIPOR1"
0,2.59092911483971,0.618,0.002,0,"12","ENSG00000230027"
0,2.54179902071028,0.677,0.054,0,"12","CDC14A"
0,2.4825639359668,0.682,0.037,0,"12","ARHGAP28"
0,2.45615000677657,0.493,0.051,0,"12","CCN2"
0,2.44128073969497,0.79,0.136,0,"12","NEBL"
0,2.35419939659806,0.844,0.205,0,"12","TJP1"
0,2.33807703555041,0.789,0.18,0,"12","CBLB"
0,2.33546673055891,0.752,0.129,0,"12","FRY"
0,2.3320490190225,0.642,0.062,0,"12","TGFBR3"
0,2.31624745706783,0.684,0.058,0,"12","CMAHP"
0,2.30924494138924,0.593,0.014,0,"12","WT1"
0,2.30462589908296,0.719,0.129,0,"12","NPNT"
0,2.29958346097586,0.903,0.303,0,"12","UACA"
0,2.2962403817773,0.609,0.104,0,"12","ARRDC4"
0,2.29411191169625,0.711,0.096,0,"12","SRGAP1"
0,2.27311660416688,0.668,0.114,0,"12","VTI1A"
0,2.2392404350314,0.547,0.008,0,"12","WT1-AS"
0,2.22425381720091,0.545,0.014,0,"12","LRRC2"
0,2.21461953015332,0.601,0.009,0,"12","ATP10A"
0,2.21130476485534,0.696,0.071,0,"12","FRMD1"
0,2.2054519937343,0.533,0.009,0,"12","LINC00839"
0,2.19794834031742,0.684,0.093,0,"12","DOCK5"
0,2.18126045047458,0.561,0.02,0,"12","TNNT2"
0,2.17387701092468,0.701,0.094,0,"12","RERG"
0,2.1295323020673,0.528,0.01,0,"12","ST6GALNAC3"
0,2.09033866093056,0.649,0.085,0,"12","CCDC91"
0,2.04689552812915,0.568,0.039,0,"12","RYR3"
0,2.03067293673435,0.658,0.088,0,"12","IQGAP2"
0,2.01619482227678,0.514,0.017,0,"12","ARHGEF26"
0,2.00845236914278,0.552,0.038,0,"12","ENSG00000256029"
0,1.97623980894833,0.471,0.014,0,"12","TSPAN2"
0,1.96873923856918,0.444,0.014,0,"12","F3"
0,1.96346831498069,0.504,0.024,0,"12","PDLIM2"
0,1.94563457007694,0.459,0.019,0,"12","SPOCK2"
0,1.9364243646242,0.528,0.043,0,"12","SEMA5A"
0,1.9239349596855,0.475,0.003,0,"12","PPFIA4"
0,1.92141496462439,0.542,0.053,0,"12","DACH1"
0,1.90068217560712,0.742,0.121,0,"12","ENPEP"
0,1.89585492281622,0.474,0.007,0,"12","PCOLCE2"
0,1.89151831712685,0.598,0.103,0,"12","ARHGEF3"
0,1.88232829722138,0.479,0.002,0,"12","FMN2"
0,1.87830717012754,0.448,0.01,0,"12","NES"
0,1.87636686001714,0.437,0.001,0,"12","ADAMTS19"
0,1.78448120704276,0.423,0.007,0,"12","PHYHIP"
0,1.77934732889541,0.477,0.042,0,"12","EYA4"
0,1.77256422861008,0.44,0.026,0,"12","CDKN1C"
0,1.77256186783267,0.561,0.083,0,"12","KLHL42"
0,1.77188602115307,0.41,0.004,0,"12","NKD1"
0,1.75123737293256,0.583,0.098,0,"12","EXPH5"
0,1.74720644020075,0.421,0.003,0,"12","ENSG00000248115"
0,1.74209479819275,0.69,0.113,0,"12","PTPRD"
0,1.73721494173972,0.328,0.003,0,"12","DDN"
0,1.72176459817316,0.293,0.006,0,"12","CHI3L1"
0,1.70836033718817,0.431,0.028,0,"12","MXRA8"
0,1.70268528561308,0.401,0.026,0,"12","CDC42EP3"
0,1.68355655658669,0.347,0.014,0,"12","NDNF"
0,1.66315329319483,0.499,0.064,0,"12","SERINC5"
0,1.65696137964219,0.396,0.014,0,"12","SYNPO"
0,1.61993361271926,0.302,0.001,0,"12","ENSG00000223586"
0,1.61934458510766,0.529,0.062,0,"12","INF2"
0,1.60977255024,0.383,0.012,0,"12","MAP6"
0,1.60858546405031,0.378,0.008,0,"12","MAFB"
0,1.59701433032752,0.383,0.04,0,"12","HPGD"
0,1.57954032320453,0.44,0.025,0,"12","NECAB1"
0,1.50256998414562,0.418,0.017,0,"12","SULF1"
0,1.48989466330797,0.418,0.019,0,"12","FYN"
0,1.4811894760881,0.362,0.011,0,"12","WIPF3"
0,1.4684483181782,0.428,0.033,0,"12","KIRREL1"
0,1.45923161241215,0.329,0.019,0,"12","HTRA1"
0,1.44413120036368,0.351,0.021,0,"12","GPSM1"
0,1.41569253358599,0.32,0.018,0,"12","DCN"
0,1.40999357727316,0.337,0.023,0,"12","ENSG00000247934"
0,1.4071873507657,0.426,0.049,0,"12","VIM"
0,1.40524892649447,0.326,0.007,0,"12","ENSG00000259969"
0,1.39047835447445,0.428,0.041,0,"12","MGAT5"
0,1.36728770511569,0.296,0.003,0,"12","LOC102546299"
0,1.36528937928212,0.37,0.011,0,"12","NPAS3"
0,1.35839718363181,0.339,0.006,0,"12","ABLIM2"
0,1.3280431831097,0.377,0.035,0,"12","MYL9"
0,1.31606521788083,0.367,0.015,0,"12","PDGFRB"
0,1.30832369194962,0.296,0.005,0,"12","DPP6"
0,1.26427782348528,0.289,0.001,0,"12","WDR49"
0,1.25440771637969,0.326,0.023,0,"12","IGFBP2"
0,1.24159358990482,0.296,0.017,0,"12","SPOCK1"
0,1.22615966402992,0.275,0.007,0,"12","PTGER4"
0,1.21625206745048,0.348,0.019,0,"12","MSRB3"
0,1.17547557373862,0.307,0.016,0,"12","KLHL29"
0,1.17296490313393,0.305,0.018,0,"12","NLRP1"
0,1.15262395808707,0.256,0.011,0,"12","F5"
0,1.15200731767235,0.283,0.009,0,"12","AXDND1"
0,1.13631544108946,0.283,0.022,0,"12","SPATA18"
0,1.09350499993543,0.261,0.013,0,"12","FOXC1"
0,1.09098788761309,0.259,0.007,0,"12","PHACTR3"
0,1.07523928623205,0.262,0.007,0,"12","AIF1"
0,1.05404911802024,0.256,0.006,0,"12","SLC45A1"
0,1.04197609641102,0.277,0.004,0,"12","LOC105375366"
0,1.02939792962078,0.261,0.009,0,"12","CCBE1"
0,0.996892770279772,0.277,0.016,0,"12","ACSL5"
5.62830084294116e-307,1.80770110109978,0.631,0.128,2.21293532542761e-302,"12","PALS1"
8.53128442691036e-304,1.01182708601857,0.264,0.019,3.35433041097262e-299,"12","ARHGAP19-SLIT1"
1.13028523359003e-302,1.66930933082865,0.579,0.105,4.44405548142928e-298,"12","CLIP4"
1.93418870166047e-295,1.99161965468649,0.789,0.225,7.60484313718862e-291,"12","PDE4DIP"
6.49725478369404e-295,1.33059717529793,0.35,0.037,2.55459063585282e-290,"12","CEACAM19"
8.78535047958665e-289,1.90953698718514,0.787,0.215,3.45422410156388e-284,"12","ITGB8"
3.78182112220707e-287,1.26053616128189,0.348,0.038,1.48693642882938e-282,"12","ITGA9-AS1"
1.23484324065578e-283,1.38464305322945,0.518,0.086,4.85515665361038e-279,"12","ANKRD44"
8.81663674420169e-283,1.39823150606372,0.396,0.05,3.46652523508522e-278,"12","TMEM150C"
2.23614266145503e-282,1.36398623047068,0.294,0.027,8.79206571630887e-278,"12","ADAM28"
1.34442354635979e-279,1.20546259833946,0.335,0.035,5.28600449957743e-275,"12","TPM2"
7.75322571829533e-278,1.16772918770976,0.366,0.041,3.04841328791936e-273,"12","LIMS2"
8.95028004570326e-278,1.5557584338184,0.526,0.091,3.51907110836961e-273,"12","ANXA2"
3.04882258384213e-276,1.5221933554722,0.542,0.097,1.19873606351505e-271,"12","PARD3B"
1.27068063568134e-272,1.36070919347449,0.431,0.062,4.99606212337189e-268,"12","SNX25"
5.39377416690527e-272,1.04085276272239,0.275,0.024,2.12072412694382e-267,"12","ILDR2"
2.41024440053008e-267,1.73059634724073,0.66,0.155,9.47659893400417e-263,"12","MYO1E"
3.09451858016685e-260,1.25317915104158,0.362,0.045,1.21670281535e-255,"12","PRDM5"
6.05353243737291e-258,1.29124877917061,0.326,0.037,2.38012788372628e-253,"12","GSTCD"
4.51886511958621e-255,1.49641017773911,0.482,0.083,1.7767273877189e-250,"12","USP46"
1.35267649859406e-252,1.82431818955362,0.955,0.44,5.31845345717212e-248,"12","DST"
4.73392304630696e-248,1.08087408972733,0.312,0.035,1.86128386334697e-243,"12","SYNJ2"
4.98767484678675e-243,1.17653589224352,0.332,0.04,1.96105399625961e-238,"12","SBSPON"
3.87863513349319e-239,0.935147181183416,0.273,0.027,1.52500176178685e-234,"12","SPARC"
