"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.17414218093135,0.821,0.148,0,"5","UMOD"
0,3.07507140700583,0.972,0.179,0,"5","SLC12A1"
0,2.77745638241227,0.65,0.08,0,"5","GP2"
0,2.17529137104538,0.516,0.085,0,"5","RP1"
0,2.12419769085232,0.37,0.038,0,"5","CLDN16"
0,1.84958702992951,0.279,0.006,0,"5","TMEM207"
6.9528184388213e-274,1.61796180996648,0.323,0.066,2.73370915377576e-269,"5","CASR"
1.70500171478403e-262,1.54354080381592,0.309,0.062,6.70372574218784e-258,"5","SIM2"
2.4541760155111e-221,1.24307727636461,0.316,0.073,9.64932925778654e-217,"5","PLCB1"
2.58158178213223e-189,1.50031732313689,0.326,0.089,1.01502632509875e-184,"5","TFAP2B"
6.70010159363752e-181,1.41415438647274,0.479,0.184,2.6343459445864e-176,"5","KNG1"
3.82885859425104e-177,1.36098258496178,0.461,0.177,1.50543062208762e-172,"5","PDE1A"
2.24974569697261e-165,1.28302074246959,0.711,0.396,8.84555013135691e-161,"5","CLCNKB"
9.73396065768237e-151,1.23938408690084,0.367,0.131,3.82719865138755e-146,"5","LINC01606"
2.27343202529561e-145,1.31560883176825,0.425,0.17,8.93868003705729e-141,"5","PCDH9"
1.76624044735973e-144,1.1206097222656,0.726,0.491,6.94450419092898e-140,"5","ATP1A1"
1.66627878211891e-137,1.31279832487204,0.647,0.377,6.55147491553515e-133,"5","CLCNKA"
4.94983039177478e-137,1.62491832443385,0.465,0.223,1.94617431343801e-132,"5","NAV2"
4.42233153954262e-135,1.39294468026394,0.434,0.192,1.73877231471737e-130,"5","CKB"
2.99551245808943e-132,1.1286773708986,0.703,0.481,1.1777755882716e-127,"5","FXYD2"
6.23717001868511e-128,1.19173689742519,0.295,0.097,2.45233050794661e-123,"5","SLC4A7"
9.34693728428602e-124,1.14627603147021,0.305,0.106,3.67502880143558e-119,"5","F11"
6.3153887079104e-122,1.23027482680525,0.43,0.193,2.48308453217621e-117,"5","TMEM72"
7.19548936735418e-121,0.901807379270642,0.757,0.575,2.82912250945632e-116,"5","ATP1B1"
2.98340742750505e-119,1.03866352810702,0.496,0.232,1.17301613234643e-114,"5","EGF"
