"gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"H1-3",2.01906553412336,0.287,0.005,0
"ABCA13",1.5623065948964,0.256,0.002,0
"H2BC8",1.62466308986195,0.262,0.005,0
"H1-2",2.29491958586221,0.39,0.02,8.7663618017552e-247
"SATB2",2.0736988601675,0.333,0.016,2.49322003756499e-228
"DNAH11",1.62458750206952,0.308,0.014,2.85700330799336e-220
"ENSG00000272196",2.49492221640843,0.379,0.022,1.30593234420468e-213
"ENSG00000203812",3.28167728298792,0.585,0.062,1.23814183146901e-187
"H2BC21",2.00241877090293,0.385,0.027,3.75291184042527e-184
"CRNDE",1.3296573476728,0.251,0.011,1.54436423446684e-181
"ENSG00000285417",2.80150638882091,0.703,0.098,1.03872138096842e-174
"PROM1",2.19358590884388,0.533,0.062,2.82973254191382e-157
"ENSG00000243081",2.2011961872957,0.503,0.055,2.91310545941993e-157
"H2AC6",2.44505978853436,0.6,0.081,6.50545313467916e-151
"CD200",2.31149205759614,0.569,0.077,6.67151995466467e-148
"H2BC5",1.68876396922993,0.272,0.017,8.11028066801292e-142
"ID1",2.19133620300912,0.538,0.069,8.6521859872573e-139
"H1-4",1.97041549598611,0.4,0.039,4.73790885375044e-134
"SMAD9",1.58605607631413,0.282,0.02,3.20682293595054e-128
"ID4",1.92349534036534,0.308,0.027,1.95773461032557e-114
"H1-0",2.61798172142097,0.369,0.042,4.39111945548224e-107
"TPM1",2.59076690688065,0.805,0.222,7.27395782004384e-107
"RNF144B",2.10475892227247,0.456,0.065,3.72573061930027e-106
"FGFBP2",1.59168532675821,0.338,0.037,9.30134546366453e-100
"FOXP2",1.63375465036942,0.282,0.028,8.17095489073802e-93
"LINC01317",2.17266747540559,0.744,0.22,8.74923828186895e-85
"PAX8-AS1",2.14805872903399,0.954,0.516,7.16960883729868e-81
"XIST",1.71582587820269,0.856,0.268,4.34022467582437e-80
"DOCK11",1.45684320484666,0.282,0.033,1.26700879684238e-73
"CRYAB",1.87844685972608,0.518,0.107,6.43948964851441e-73
"PKHD1",1.60341790020966,0.928,0.565,5.44387627053185e-61
"DYNC2LI1",2.03101654491144,0.533,0.16,1.96441702411793e-53
"OXR1",1.86738032729124,0.733,0.315,8.23636390568311e-53
"ID3",1.65019509117112,0.277,0.044,3.07426664244842e-50
"AKR1C1",1.45983857254854,0.277,0.044,1.26212634592027e-49
"PAX8",1.59303725669814,0.862,0.515,1.79516370730958e-49
"H3-3B",2.07975957648657,0.559,0.181,7.27426967449147e-49
"OR2A20P",1.4811040938201,0.492,0.137,5.52106913926642e-48
"PARP4",1.64851140020506,0.405,0.097,2.71317729731683e-47
"PFKFB3",1.8085806353396,0.395,0.095,4.83062013184314e-45
"CDKL2",1.41452642303995,0.338,0.071,4.83588185637778e-45
"OR2A42",1.20931109020844,0.251,0.041,5.90403461780233e-45
"PPFIBP1",1.61010862634529,0.713,0.314,2.14769573876824e-44
"MYO9A",1.58696883928958,0.769,0.4,1.02111140746375e-43
"ENSG00000228960",1.23175782183891,0.287,0.053,2.04426841477212e-42
"CPVL-AS2",1.4245014175035,0.282,0.054,1.22490019745842e-40
"BICC1",1.35949236167583,0.754,0.357,3.20362201145795e-38
"OR2A1",1.14035782796793,0.338,0.078,7.38868020250086e-38
"ENSG00000284644",1.56752679466011,0.497,0.167,2.43716567195405e-37
"KIF12",1.24644316433656,0.821,0.459,1.68844899459957e-36
"JAG1",1.64384068682796,0.4,0.115,8.89908071984649e-35
"PLEKHH2",1.54008052509073,0.533,0.201,1.93738252431302e-34
"ENSG00000244198",1.2497038822413,0.303,0.07,2.16168385463287e-33
"LRRK2",1.40023428922024,0.61,0.254,3.99498814911359e-33
"ENSG00000272168",1.04762187228857,0.287,0.067,2.02487776226138e-30
"UTRN",1.21795507389525,0.6,0.258,2.90158993910583e-30
"LBR",1.56324794039517,0.421,0.143,1.58989469078019e-29
"DAPK1",1.60522943726835,0.523,0.219,2.60382707491095e-29
"NEBL",1.45612084954634,0.441,0.154,5.77696470464173e-29
"ENSG00000285162",1.21152941150477,0.297,0.079,4.78857720650938e-27
"EGOT",1.3392882926771,0.338,0.098,5.68094653977883e-27
