"gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000278610",1.13038254905497,0.251,0.059,1.00202109705841e-26
"UGT2B7",0.946118031629325,0.492,0.178,1.7099454749049e-25
"SESN3",1.51729325559854,0.308,0.092,7.19973360131927e-24
"ENSG00000269966",1.19098763806633,0.805,0.532,7.31684435258643e-24
"FARP1",1.42888238652757,0.667,0.411,9.57997451595452e-22
"RBPMS",1.43044429411973,0.61,0.351,6.57277353959215e-21
"SGIP1",1.39033235392413,0.39,0.146,1.22055645272851e-20
"ACADL",1.21990098176395,0.395,0.15,1.23354307656022e-20
"ADGRA3",1.08519410959436,0.318,0.102,2.08348795714539e-20
"ENSG00000253552",1.14671729120507,0.256,0.071,3.87952570412375e-20
"PDZK1",1.03659568487166,0.421,0.161,1.2327594921661e-19
"ALPK2",0.910657892311889,0.262,0.072,3.47906629918963e-19
"AIF1L",1.24841661905869,0.39,0.154,4.3580087147467e-19
"LHFPL3-AS2",1.10941567818115,0.282,0.086,5.69039245360417e-19
"CTTNBP2",1.011027781013,0.323,0.107,5.85445808325489e-19
"LPIN1",1.27290688989839,0.4,0.164,3.40992443097624e-18
"GALNT14",0.972273347500696,0.272,0.083,7.96494448317016e-18
"ABI3BP",1.0707102792808,0.272,0.083,1.32313765214067e-17
"ADAMTS9-AS1",1.26383515807229,0.513,0.25,2.56961271358313e-17
"ZBTB20",0.838934219289514,0.846,0.64,7.56136301837471e-17
"PDXK",1.52364613153689,0.462,0.231,1.38343532409865e-16
"COL4A2",1.0693273159656,0.405,0.17,3.86887868756211e-16
"WDFY3",1.06229925190989,0.574,0.33,5.57868067531402e-16
"MRPS6",1.36053321024846,0.667,0.453,1.53539471964087e-15
"COL4A1",1.11829035171953,0.354,0.139,3.25768652364559e-15
"PCAT1",1.48325855361013,0.333,0.139,4.50218270131216e-14
"FRMD4A",1.02723598719089,0.364,0.155,7.53281202450686e-14
"NTN4",1.02217208895523,0.318,0.12,1.2018405398795e-13
"IER2",1.02036568498003,0.262,0.09,3.00542825132088e-13
"ENSG00000244879",1.08619541418121,0.585,0.349,4.0566725994708e-13
"FGFR3",0.90376418046007,0.354,0.144,4.84762496991278e-13
"EGFR",0.96903780391584,0.292,0.113,1.84389302260224e-12
"BCAM",1.06702115301208,0.431,0.219,4.45808379881747e-12
"ITGB8",1.02991859021489,0.462,0.231,5.70075073297414e-12
"ADAMTS9-AS2",0.896838399919615,0.462,0.239,6.04728857851863e-12
"CCDC198",0.807569681280301,0.713,0.491,1.03091930473481e-11
"OGFRL1",1.100505411398,0.359,0.165,1.17658180832932e-11
"BCL2",0.916107972480918,0.344,0.149,1.23649298379393e-11
"HNF1B",1.18357363924062,0.318,0.139,1.86974412712843e-11
"ENSG00000269707",0.877605061984323,0.277,0.104,1.97415688538385e-11
"MIR99AHG",0.963185648345133,0.344,0.153,6.64889144267209e-11
"AHNAK",0.986259880994849,0.467,0.255,8.79352082033570e-11
"IFT122",0.947099190358717,0.256,0.096,9.34288228552132e-11
"UBAP2",0.982639099297346,0.313,0.137,2.41142603452404e-10
"ZNF462",0.798007381906071,0.272,0.107,8.89774732093293e-10
"MAP3K1",0.940298728716072,0.308,0.133,1.28868198239958e-09
"ENSG00000283088",0.764657336590716,0.256,0.1,2.44065981906718e-09
"TUT4",0.823558935949916,0.626,0.427,2.69624360582468e-09
"WWC1",1.03386544916567,0.323,0.151,3.20822177303347e-09
"PLAGL1",0.937558444596339,0.297,0.132,3.2563798687896e-09
"CHL1",0.982006734944069,0.277,0.115,3.42525466661685e-09
"HMGN1",0.995911213570725,0.374,0.194,3.99069999449078e-09
"DDX17",0.536886139584758,0.944,0.822,5.23820994621039e-09
"TBC1D4",0.936012971164117,0.395,0.205,5.60691722687258e-09
"MACC1",0.852995169590168,0.287,0.121,6.26842474528032e-09
"LINC02532",0.948414338842053,0.544,0.339,7.9652014388409e-09
"NPR3",0.930576274633913,0.267,0.11,9.6562886028312e-09
"EPS8L2",0.666529050476372,0.6,0.393,1.04602639805323e-08
"INTU",0.867650637407153,0.364,0.187,3.55410572356805e-08
"ENSG00000273049",0.867549468716473,0.344,0.167,4.26839742367711e-08
"NFAT5",0.83917015882971,0.615,0.444,6.47272488226881e-08
"WWC2",0.858182404822416,0.359,0.181,7.30016869779328e-08
"MOK",0.842991414066228,0.313,0.148,8.06782678492635e-08
"DMKN",0.870355527313042,0.272,0.119,1.21007594094868e-07
"PRKCI",0.889551322400424,0.323,0.161,3.93170376455476e-07
"HIPK2",0.979123134885872,0.359,0.194,4.55776059941212e-07
"ABCC4",0.797058304143974,0.251,0.11,1.96554479755683e-06
"KTN1",0.555511914102377,0.662,0.467,2.00124629531021e-06
"MTMR10",1.04706755045563,0.39,0.226,3.02533956276286e-06
"BIVM",0.861957266624456,0.308,0.156,3.56530596075593e-06
"RALGPS2",0.76316346221474,0.328,0.171,4.3444065477752e-06
"VPS13C",0.717918058139005,0.528,0.362,7.39662896033478e-06
"ARHGAP29",0.694865366034605,0.579,0.405,1.56067671246143e-05
"ENSG00000248334",0.810632266026341,0.282,0.14,1.78754013619378e-05
"ENSG00000236333",0.883400019753405,0.287,0.144,2.29314462157043e-05
"ADAM10",0.827338806146447,0.374,0.219,2.36239571604188e-05
"MAML2",0.798612082964802,0.513,0.354,3.86344942824306e-05
"ENSG00000269028",0.466503027012241,0.785,0.618,4.3020472470466e-05
"FTX",0.635293267729856,0.697,0.591,4.38876197639844e-05
"C2orf42",0.715867712313389,0.533,0.377,5.33288045990016e-05
"JUN",0.86845182974686,0.318,0.167,5.65192229392584e-05
"FXYD2",0.667476907879723,0.656,0.496,7.07121701671914e-05
"ACTG1",1.0526520052784,0.41,0.256,7.30666462571334e-05
"ADGRF1",0.589880734425734,0.313,0.156,8.22947811699567e-05
"KIFC3",0.667681560465941,0.472,0.308,8.31296655254812e-05
"JUNB",0.728563051295663,0.272,0.132,8.44177493317614e-05
"GPCPD1",0.840250622956811,0.364,0.221,0.00026947572835934
"ASPH",0.723558911763127,0.267,0.139,0.000648048433998276
"HOXA3",0.671134102292784,0.251,0.125,0.000850920945879106
"ATM",0.668489435404719,0.436,0.292,0.00102789103040946
"LIFR",0.606503418544258,0.426,0.275,0.0010747330530746
"COL27A1",0.49836492993332,0.333,0.185,0.00177680192639925
"ZNF468",0.69322327852686,0.262,0.138,0.00229871804043553
"PER3",0.721967547026724,0.277,0.151,0.0025106132835273
"RASD1",0.84124652661653,0.256,0.132,0.00263427625423026
"ARHGEF28",0.526987854406745,0.538,0.391,0.00271736668980912
"HOXA9",0.615964571498442,0.256,0.133,0.00451363547400711
"PICALM",0.708726068987269,0.415,0.281,0.00594711263703955
"INTS3",0.535164960439114,0.333,0.201,0.0070482747860725
"CD46",0.701551403621733,0.482,0.36,0.00747471804944337
"NAPEPLD",0.68513775487618,0.308,0.185,0.00852167240521476
"DNAH14",0.729243126648211,0.349,0.221,0.00957270938670707
"MYEF2",0.640594939073461,0.323,0.195,0.0107641903433877
"SYNE1",0.307682165071367,0.615,0.474,0.0111213111332232
"ZNF83",0.630062677525044,0.492,0.356,0.0118376062403337
"MPRIP",0.708009706184064,0.338,0.214,0.0129477182806872
"CNDP2",0.688386205315572,0.323,0.2,0.0164011654537334
"LEPROT",0.873102803781001,0.297,0.182,0.01695309609344
"ZBTB44",0.781302323315469,0.303,0.184,0.0184796473946464
"CFDP1",0.718567874114532,0.272,0.157,0.0260059634248587
"XPO1",0.556839532481011,0.456,0.322,0.0315075669697626
"TNS3",0.566467097267881,0.272,0.152,0.0326595911791992
"PTAR1",0.761560994373927,0.369,0.252,0.0428127222012705
"ANKRD36",0.345225736442397,0.538,0.391,0.0549297178993207
"FAN1",0.565082370457384,0.256,0.144,0.0617119093456001
"BRCA1",0.674967221701472,0.277,0.163,0.0885743374426075
"FRA10AC1",0.647698926007407,0.251,0.144,0.137515913960331
"MTSS1",0.709496743443256,0.344,0.229,0.142132666765291
"COL6A3",0.479093941835702,0.523,0.419,0.172955845217873
"ARHGEF10L",0.685716191528805,0.292,0.184,0.174841830879074
"PIK3CB",0.640216120703814,0.262,0.156,0.179773600031025
"ITGA1",0.478998658611682,0.328,0.205,0.186681885860202
"PAWR",0.490553632112907,0.369,0.249,0.190393535616864
"MAP3K21",0.659017382025731,0.256,0.152,0.227130650452669
"P3H2",0.646409591772423,0.303,0.189,0.25363652362381
"EGR1",0.444174135927278,0.256,0.144,0.287415221434194
"ENSG00000277991",0.661746723713048,0.344,0.235,0.423086774256327
"UFM1",0.681434910183136,0.282,0.179,0.47150731848317
"CLK4",0.587036678168815,0.354,0.245,0.515258329737065
"KLHL24",0.616949888766651,0.308,0.201,0.55485762806217
"FUBP1",0.495036152811055,0.364,0.257,0.665619557346219
"FRY",0.581137235471715,0.251,0.147,0.696579142366043
"CRIM1",0.636758975607182,0.292,0.188,0.935069004758128
"SRGAP3",0.57936949836579,0.287,0.183,1
"COL4A5",0.397588016378788,0.272,0.163,1
"CPSF6",0.614465228346661,0.338,0.236,1
"AKT2",0.611618652822037,0.313,0.209,1
"ATP13A3",0.523072414003436,0.323,0.219,1
"PAX2",0.253821883539918,0.523,0.39,1
