"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.15800358084117,0.861,0.158,0,"1","PRODH2"
0,3.06977889821192,0.827,0.178,0,"1","MIOX"
0,3.00422997509677,0.888,0.201,0,"1","FTCD"
0,2.91409463568756,0.674,0.116,0,"1","AFM"
0,2.78489617753606,0.796,0.177,0,"1","SLC6A13"
0,2.75803528380849,0.658,0.114,0,"1","SLC22A6"
0,2.71441666469499,0.796,0.204,0,"1","GPX3"
0,2.58439114241439,0.518,0.089,0,"1","SLC34A1"
0,2.5749891532988,0.848,0.186,0,"1","CUBN"
0,2.50408798790188,0.856,0.214,0,"1","LRP2"
0,2.49977225914112,0.563,0.12,0,"1","CLEC18A"
0,2.44229477348727,0.845,0.195,0,"1","ACSM2B"
0,2.40544543999607,0.557,0.178,0,"1","CYP3A5"
0,2.36117926867772,0.87,0.213,0,"1","ACSM2A"
0,2.34154969227904,0.549,0.133,0,"1","ACSF2"
0,2.29499354881455,0.7,0.148,0,"1","PAH"
0,2.28259118351928,0.585,0.133,0,"1","SLC16A9"
0,2.25774273171778,0.437,0.085,0,"1","SLC22A11"
0,2.25120842738717,0.719,0.153,0,"1","SLC5A12"
0,2.25118520278266,0.908,0.411,0,"1","PTH1R"
0,2.23847251622421,0.577,0.23,0,"1","ANK2"
0,2.19994549297888,0.453,0.101,0,"1","DPEP1"
0,2.1670970520462,0.402,0.087,0,"1","AMN"
0,2.15499936418543,0.527,0.12,0,"1","ALDOB"
0,2.13768856391887,0.526,0.11,0,"1","SLC13A3"
0,2.09812937589964,0.62,0.217,0,"1","RASSF4"
0,2.0680924044719,0.492,0.126,0,"1","SLC17A1"
0,2.06345586149871,0.4,0.084,0,"1","AGXT2"
0,2.04262430620954,0.431,0.108,0,"1","PDZK1IP1"
0,2.02599258951247,0.446,0.107,0,"1","ANPEP"
0,2.02453687161781,0.495,0.155,0,"1","LINC00671"
0,2.01830020242595,0.353,0.073,0,"1","CDHR5"
0,1.9915941805394,0.35,0.08,0,"1","GGT3P"
0,1.95741571243705,0.342,0.073,0,"1","SLC6A19"
0,1.93806326696702,0.409,0.108,0,"1","GLYAT"
0,1.89441830081971,0.44,0.101,0,"1","SLC36A2"
0,1.81682997211134,0.519,0.146,0,"1","UGT1A8"
0,1.46021080203742,0.903,0.759,0,"1","SYNE2"
8.23237108300136e-305,2.02802057678198,0.351,0.084,3.23680366241448e-300,"1","GGT1"
6.19075998860978e-304,1.77469745816289,0.351,0.081,2.43408301232159e-299,"1","SLC22A8"
1.41829458766689e-302,1.48842556228021,0.84,0.619,5.57645065978867e-298,"1","KCNQ1OT1"
3.38357974469849e-302,2.01420348369902,0.377,0.099,1.33035588402055e-297,"1","CLEC18B"
1.35601870044442e-281,1.82511751400347,0.363,0.095,5.33159432640738e-277,"1","ASS1"
2.34907087359567e-281,1.93405842680385,0.445,0.148,9.23607686080346e-277,"1","MLXIPL"
1.31066902603626e-277,1.93602250165477,0.415,0.128,5.15328847656936e-273,"1","ABHD14A-ACY1"
2.20317504061175e-277,1.84904847553661,0.283,0.058,8.66244362467729e-273,"1","GGTLC2"
9.47953329526359e-276,1.81890582623018,0.276,0.055,3.72716290103174e-271,"1","KHK"
2.38226691868261e-275,1.83836601696239,0.555,0.242,9.36659707087629e-271,"1","TPCN1"
4.06770689180353e-275,1.61909863539906,0.359,0.091,1.59934099571931e-270,"1","CYP4A11"
1.66138124713841e-264,1.77443266123697,0.332,0.082,6.53221878749881e-260,"1","SLC47A2"
6.33132525343707e-263,1.59461887896748,0.465,0.156,2.48935046314639e-258,"1","MME"
1.73483705145662e-257,1.75831841288491,0.31,0.074,6.82103231891712e-253,"1","FUT6"
1.46287981001511e-248,1.44872161529126,0.772,0.59,5.75175083701742e-244,"1","SRRM2"
9.48956100974902e-246,1.66602457184815,0.293,0.069,3.73110559781312e-241,"1","SLC39A5"
1.08682645075498e-241,1.71732467329837,0.29,0.068,4.27318423907844e-237,"1","PLG"
4.06452214053562e-239,1.79285523688973,0.587,0.314,1.5980888152158e-234,"1","GUSBP11"
9.27328772064362e-233,1.75480682795465,0.282,0.068,3.64607126600266e-228,"1","ESPN"
2.37596105831268e-232,1.76162550141694,0.31,0.082,9.34180368907381e-228,"1","C4B"
7.90272251532102e-228,1.66824181003844,0.42,0.144,3.10719243857392e-223,"1","PCK1"
3.56163534273409e-218,1.76423316951635,0.567,0.302,1.40036378405619e-213,"1","MIA2"
9.16781585488333e-216,1.71332975292487,0.464,0.193,3.60460183782303e-211,"1","RAB11FIP3"
6.95575187979811e-205,1.47972802328909,0.725,0.535,2.73486252409902e-200,"1","GOLGA4"
8.902025566323e-202,1.68417356534365,0.365,0.126,3.50009841216688e-197,"1","ENSG00000255275"
1.25996905450065e-201,1.69405229444623,0.376,0.133,4.95394632848564e-197,"1","SLC12A6"
7.25668102116027e-195,1.52967604369787,0.288,0.08,2.85318184389979e-190,"1","CYP4F3"
6.20785562019878e-187,1.65752575965134,0.345,0.119,2.44080467274976e-182,"1","ENSG00000211683"
4.22769338755764e-183,1.668537898733,0.359,0.128,1.66224448611991e-178,"1","MAF"
2.63269334198045e-182,1.52779802897489,0.462,0.202,1.03512236819987e-177,"1","KCNJ15"
7.32187572431588e-180,1.73638727070908,0.29,0.088,2.87881509728652e-175,"1","CCDC200"
9.19131300064814e-177,1.44917709728805,0.271,0.077,3.61384044559483e-172,"1","UPB1"
5.65225988256034e-168,1.6046169192766,0.258,0.074,2.22235554062507e-163,"1","CLEC18C"
2.01009868577302e-163,1.491096673413,0.657,0.467,7.90330601272237e-159,"1","GOLGB1"
2.5459365175722e-160,1.35560950049471,0.479,0.239,1.00101131997904e-155,"1","ERRFI1"
5.44000286024322e-159,1.55773652513553,0.272,0.085,2.13890032459043e-154,"1","FAM20C"
1.61106992973833e-156,1.51702584410305,0.334,0.123,6.33440474974516e-152,"1","SLC4A4"
3.56022706186751e-156,1.63240248736965,0.296,0.101,1.39981007618507e-151,"1","RHOBTB1"
9.22874392291063e-155,1.46149329291272,0.389,0.16,3.62855753561e-150,"1","UGT2B7"
1.93749430387891e-153,1.55375339346211,0.27,0.087,7.6178401039911e-149,"1","SLC26A6"
8.22866985991049e-152,1.62588577266944,0.399,0.182,3.23534841551961e-147,"1","NQO2"
1.19375210804325e-149,0.492209704581748,1,0.999,4.69359453840447e-145,"1","ENSG00000281383"
7.36309705706754e-148,1.53257586299896,0.471,0.246,2.89502250089782e-143,"1","PCLO"
1.14116701356647e-146,1.60548169942375,0.344,0.139,4.48684046394063e-142,"1","FAAH"
1.59171948380706e-146,1.39892576807226,0.484,0.261,6.25832266643262e-142,"1","BHMT2"
2.98811832229565e-140,1.7205451275464,0.318,0.126,1.1748683619602e-135,"1","SLC7A8"
1.28344563086489e-138,1.55189885980637,0.336,0.136,5.04625153143458e-134,"1","PARP10"
2.75893288268884e-134,1.5640402954285,0.363,0.161,1.0847572308156e-129,"1","TNFRSF14"
4.62413765919787e-132,1.57387927080412,0.268,0.094,1.81811844484342e-127,"1","RASA4.1"
1.95313978265594e-129,1.41216589405296,0.323,0.131,7.67935499744662e-125,"1","SLC47A1"
1.71856335276974e-126,1.39342949026933,0.291,0.11,6.75704739042006e-122,"1","NOX4"
1.12643283441453e-125,1.53141293472018,0.294,0.116,4.42890861835105e-121,"1","RSAD1"
1.18371848579895e-125,1.3466051952728,0.341,0.146,4.65414434246431e-121,"1","PDZK1"
2.30172288251081e-121,1.50854412219354,0.383,0.189,9.04991402945601e-117,"1","D2HGDH"
6.11332359094769e-120,1.47902516874943,0.317,0.135,2.40363656948881e-115,"1","ASPA"
7.14562402831494e-119,1.38186408805484,0.305,0.124,2.80951645545287e-114,"1","ENPEP"
1.52344584683555e-117,1.46929338856668,0.404,0.219,5.98988438058803e-113,"1","SAT2"
4.18200613342627e-111,1.44636432394719,0.296,0.125,1.64428117154054e-106,"1","NSMF"
8.8895205418669e-108,1.46083289087053,0.419,0.242,3.49518168665123e-103,"1","FN3K"
1.47320104415214e-107,1.2826977401103,0.586,0.444,5.7923318653974e-103,"1","PLEKHA5"
3.43547144510356e-106,1.52150447891271,0.263,0.104,1.35075866278582e-101,"1","GADD45A"
7.0286062678323e-105,1.45044164632753,0.349,0.17,2.7635074123863e-100,"1","COL27A1"
2.89096144832293e-104,1.46110511908964,0.46,0.288,1.13666822225161e-99,"1","DMXL2"
1.44313466483003e-102,1.35610695930538,0.264,0.108,5.6741168751787e-98,"1","TTC38"
1.6941891482167e-102,1.39757322105081,0.298,0.131,6.66121289295841e-98,"1","FGFR3"
6.30642863554469e-101,1.438465146192,0.343,0.171,2.47956161092346e-96,"1","CALM1"
9.63965563307265e-99,1.43885756254862,0.275,0.117,3.79011980181151e-94,"1","PTPRD"
5.77575002896269e-96,1.29885630589008,0.257,0.105,2.27090939638755e-91,"1","BHMT"
5.25965559120902e-86,1.29218479335366,0.396,0.239,2.06799138535156e-81,"1","HPN"
2.17227345214318e-85,1.21707212596738,0.518,0.379,8.54094475913655e-81,"1","PAX2"
7.56958917132081e-83,1.33243025425616,0.327,0.173,2.97621107037992e-78,"1","CTSH"
2.00317059372503e-79,1.26438612971748,0.257,0.116,7.87606614040807e-75,"1","PDZD2"
2.2243410972776e-74,1.26298385776535,0.391,0.249,8.74566432627608e-70,"1","PPARA"
2.45091227093344e-74,1.3084501450503,0.316,0.172,9.63649686685612e-70,"1","HDAC6"
1.35025652679857e-71,1.22649545526696,0.269,0.133,5.3089386120666e-67,"1","SLC12A7"
8.81623248401134e-69,1.18609956828471,0.485,0.371,3.46636628806358e-64,"1","VPS13A"
2.86625515878542e-65,0.874811884177284,0.572,0.445,1.12695420333125e-60,"1","DST"
1.40640757115827e-64,1.31537177645512,0.436,0.306,5.5297132882801e-60,"1","CMYA5"
6.12181731929657e-58,1.00256272084784,0.54,0.454,2.40697613360103e-53,"1","KIF12"
1.4888729782765e-56,1.22358647255283,0.266,0.147,5.85395077598752e-52,"1","ENSG00000238105"
5.30384488887127e-56,1.10292405728479,0.271,0.149,2.08536573340641e-51,"1","ALDH3A2"
2.54094629179161e-52,1.22319053810072,0.348,0.231,9.99049263006626e-48,"1","CLUH"
5.42205752261802e-49,1.21045918658313,0.295,0.184,2.13184457674295e-44,"1","ENSG00000258472"
