"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.25505336520306,0.613,0.085,0,"9","CRYAB"
0,3.14814076656558,0.705,0.073,0,"9","ENSG00000285417"
0,2.85623785134158,0.467,0.044,0,"9","VCAM1"
0,2.68474734129508,0.395,0.055,0,"9","MEG3"
0,2.55794883931314,0.716,0.203,0,"9","TPM1"
0,2.53775426586192,0.751,0.206,0,"9","ITGB8"
0,2.52715379290002,0.588,0.048,0,"9","ALPK2"
0,2.49912883620025,0.317,0.037,0,"9","FSTL3"
0,2.0954919850217,0.645,0.157,0,"9","UGT2B7"
0,2.09055197746144,0.416,0.038,0,"9","CREB5"
0,2.06814078769432,0.336,0.021,0,"9","ENSG00000262619"
0,2.05429592971288,0.824,0.36,0,"9","VMP1"
0,1.89991189847049,0.352,0.037,0,"9","CDH6"
0,1.71007422918191,0.38,0.059,0,"9","SULT1C4"
0,1.62592968652671,0.289,0.025,0,"9","IL32"
0,1.49858131551442,0.291,0.014,0,"9","RHEX"
0,1.44354977906037,0.334,0.038,0,"9","LINC02615"
0,1.40765680359049,0.36,0.05,0,"9","UGT2A3"
0,1.39882169060374,0.27,0.012,0,"9","DLGAP1"
0,1.33152002722813,0.273,0.023,0,"9","DOCK11"
0,1.33075373066165,0.309,0.038,0,"9","ADGRG6"
0,1.30097957915879,0.837,0.243,0,"9","ACSM2A"
0,1.22281198095003,0.307,0.038,0,"9","PCA3"
8.59442797435794e-291,1.88472731113215,0.651,0.203,3.37915719095805e-286,"9","LINC01317"
4.33976725356223e-286,1.42803702446693,0.418,0.077,1.7063096887556e-281,"9","PRUNE2"
1.06193558008155e-273,1.72490487687712,0.478,0.11,4.17531831376462e-269,"9","UGCG"
1.15882255026683e-268,1.51200238947349,0.339,0.054,4.55625850313911e-264,"9","TNFAIP2"
2.96728267229363e-268,1.61144283204239,0.296,0.041,1.16667620109241e-263,"9","AKAP12"
2.58083744309715e-263,1.76763681547674,0.438,0.094,1.01473366587694e-258,"9","TNFSF10"
6.36014365794914e-248,1.14996426233954,0.272,0.037,2.50068128343244e-243,"9","TTLL7"
8.71171149226432e-248,1.55236964887256,0.527,0.139,3.42527072452849e-243,"9","PAPLN"
4.31298852718294e-244,1.83768019588651,0.714,0.297,1.69578082911779e-239,"9","PPFIBP1"
1.89437884399338e-239,1.39756049912559,0.434,0.097,7.44831873881319e-235,"9","SLC22A2"
6.17443701502471e-236,1.49615002791372,0.43,0.098,2.42766514556741e-231,"9","RHOB"
4.01282244362747e-223,1.1970651908073,0.261,0.038,1.57776152838545e-218,"9","IL17RB"
