"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.23561522499854,0.864,0.163,0,"6","SLC8A1"
0,2.83154872195026,0.677,0.086,0,"6","SLC8A1-AS1"
0,2.49894249529982,0.611,0.171,0,"6","CALB1"
0,2.45537140612736,0.828,0.36,0,"6","NFE2L2"
0,2.15392041308322,0.827,0.23,0,"6","PIK3C2G"
0,1.99059845255712,0.421,0.045,0,"6","ENSG00000271825"
0,1.96647574533461,0.414,0.044,0,"6","ENSG00000271996"
0,1.93560376694359,0.875,0.357,0,"6","HSD11B2"
0,1.8811324793196,0.662,0.19,0,"6","TEX41"
0,1.83274990517534,0.416,0.081,0,"6","ADM"
0,1.63515859450628,0.897,0.401,0,"6","ENSG00000236283"
0,1.58890226746029,0.425,0.086,0,"6","TRPM6"
0,1.47479470971238,0.906,0.474,0,"6","WNK1"
0,1.44237492110127,0.284,0.02,0,"6","LINC01099"
2.19053357035755e-295,1.38084158612062,0.669,0.227,8.6127398919318e-291,"6","TMEM52B"
5.97040013733214e-291,1.41565536291731,0.447,0.105,2.34744192599625e-286,"6","APCDD1L-DT"
1.07561648899564e-271,1.5201018648516,0.256,0.038,4.22910891143305e-267,"6","NR0B2"
1.54700684338992e-254,1.13562166937362,0.932,0.654,6.08252150684048e-250,"6","WSB1"
2.26573074159414e-254,1.36383626108662,0.574,0.2,8.90840012979984e-250,"6","SLC38A11"
4.86509477615047e-239,1.48859108134974,0.654,0.292,1.91285796408684e-234,"6","DPY19L2"
1.51916786322928e-227,1.31554681753571,0.864,0.568,5.97306420464487e-223,"6","ATP1B1"
2.86826782521164e-218,1.31047978285139,0.354,0.087,1.12774554351671e-213,"6","RHCG"
3.72556967226142e-217,1.15344609517768,0.902,0.619,1.46481948373974e-212,"6","COBLL1"
8.25822127862523e-216,1.32473869931408,0.637,0.267,3.24696744232987e-211,"6","SCN3A"
1.09031580220028e-196,1.18285463888407,0.643,0.277,4.28690367109107e-192,"6","SCN2A"
1.4538314793521e-189,1.1397233796222,0.778,0.468,5.71617461051658e-185,"6","PDE4D"
1.43847536195543e-187,1.1840112481063,0.36,0.103,5.65579742813636e-183,"6","EMX1"
8.53783817502921e-180,0.41327165889664,1,1,3.35690721365798e-175,"6","MALAT1"
8.34295802404236e-168,1.24266373291527,0.548,0.23,3.28028423589298e-163,"6","CADPS2"
8.16621490304727e-163,1.44827509168565,0.59,0.29,3.21079237558012e-158,"6","DEFB1"
1.64926496204945e-156,1.28007309542495,0.419,0.151,6.48457997778601e-152,"6","RALBP1"
9.85948433111111e-156,1.08805048641511,0.308,0.087,3.87655204930627e-151,"6","KITLG"
1.16025840687456e-151,0.888431931125748,0.542,0.221,4.56190400414939e-147,"6","RHBG"
2.89062582346402e-151,1.10325380498351,0.66,0.346,1.13653626126958e-146,"6","RHOBTB3"
3.15580496915779e-148,1.0244104596242,0.411,0.146,1.24079939777346e-143,"6","TBX2"
1.63072895287741e-141,1.09994419257195,0.384,0.138,6.41170009692341e-137,"6","ARL15"
1.69872415988557e-141,1.05320470213468,0.396,0.141,6.67904365183809e-137,"6","ENSG00000283228"
1.40076225042566e-137,1.00271182267413,0.436,0.166,5.50751701622362e-133,"6","KLHL3"
1.29827760414666e-133,1.23253455790061,0.417,0.164,5.10456788398384e-129,"6","GADD45B"
1.3607406464659e-131,1.26219042776874,0.473,0.208,5.35016007377461e-127,"6","BHLHE40"
6.95528098755652e-130,0.963166333097923,0.288,0.087,2.73467737868747e-125,"6","TFAP2A"
5.39316299478762e-128,0.947713800384285,0.263,0.073,2.1204838262906e-123,"6","KRT19"
4.4434977873962e-120,0.950087825998649,0.284,0.091,1.74709446004844e-115,"6","SCPEP1"
2.1326619450988e-118,1.01660729774245,0.424,0.177,8.38520023573947e-114,"6","MYO1B"
2.85444795508934e-117,0.875798237699596,0.256,0.075,1.12231184698203e-112,"6","MID1"
2.82115384625982e-116,0.897246151785491,0.29,0.094,1.10922126927244e-111,"6","NRCAM"
4.17745764844171e-112,0.875794501747066,0.542,0.268,1.64249279821431e-107,"6","FRAS1"
5.01696135841844e-112,0.935862289714827,0.297,0.102,1.97256886690296e-107,"6","TOX3"
9.2013557487218e-109,1.42186383384013,0.349,0.139,3.61778905328244e-104,"6","SGK1"
1.0582802012088e-107,0.886699054073625,0.332,0.124,4.16094609511274e-103,"6","PRKG1"
1.79148946522737e-104,1.04180187028141,0.38,0.159,7.04377827938096e-100,"6","TMPRSS2"
2.17199476165636e-101,0.955876965584254,0.378,0.154,8.53984900388049e-97,"6","GDF15"
5.10413574310982e-101,0.964153518179079,0.656,0.417,2.00684409147592e-96,"6","PPARGC1A"
4.04597726915928e-98,0.97281418008363,0.364,0.151,1.59079734268804e-93,"6","INPP5J"
9.33356512018053e-89,0.899119022465605,0.402,0.191,3.66977113395258e-84,"6","FHOD3"
2.72934757373589e-87,0.874412898090751,0.251,0.086,1.07312487904148e-82,"6","SCNN1G"
