"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.84756110115835,0.598,0.056,0,"0","AQP2"
0,2.4380593080461,0.452,0.03,0,"0","PWRN1"
0,2.43385167381566,0.493,0.036,0,"0","SCNN1G"
0,2.41436083217862,0.552,0.063,0,"0","APCDD1L-DT"
0,2.39732737072997,0.418,0.028,0,"0","FXYD4"
0,2.37714055554465,0.565,0.15,0,"0","PDE10A"
0,2.28259761669259,0.532,0.14,0,"0","BTG2"
0,2.17815347500426,0.357,0.035,0,"0","AQP3"
0,2.13171837231611,0.485,0.121,0,"0","GDF15"
0,2.12808846605244,0.537,0.079,0,"0","GATA3"
0,1.96561257278849,0.314,0.051,0,"0","KRT19"
0,1.93337519380113,0.383,0.054,0,"0","PFKFB3"
0,1.88516289700413,0.41,0.116,0,"0","ATP1B3"
0,1.84865916378389,0.345,0.084,0,"0","IER3"
0,1.77641173049223,0.633,0.194,0,"0","CADPS2"
0,1.77636888862846,0.795,0.33,0,"0","HSD11B2"
0,1.75128320573233,0.33,0.067,0,"0","HES1"
0,1.73400649262914,0.314,0.06,0,"0","PNP"
0,1.73260250057248,0.275,0.022,0,"0","PRKAG2-AS2"
0,1.71424960165875,0.723,0.201,0,"0","PIK3C2G"
0,1.63165929343019,0.277,0.012,0,"0","SHCBP1"
0,1.60692631998251,0.317,0.028,0,"0","SLC9A4"
0,1.60085643489835,0.784,0.444,0,"0","PDE4D"
0,1.55152592913667,0.279,0.022,0,"0","SCNN1B"
0,1.54509711057752,0.924,0.634,0,"0","WSB1"
0,1.53540904323919,0.649,0.28,0,"0","NDRG1"
0,1.508797144778,0.612,0.207,0,"0","TRPM3"
0,1.50298987844782,0.285,0.038,0,"0","GATA2"
0,1.50218254675075,0.631,0.265,0,"0","SCIN"
0,1.49509124746398,0.468,0.13,0,"0","TOP6BL"
0,1.48016977605204,0.522,0.169,0,"0","PRKAG2"
0,1.47436285931831,0.549,0.216,0,"0","GLIS3"
0,1.47154046043527,0.444,0.127,0,"0","RALBP1"
0,1.45163943677944,0.53,0.208,0,"0","PIGQ"
0,1.44866298806614,0.339,0.067,0,"0","ST6GAL1"
0,1.43866367224327,0.279,0.035,0,"0","HMGCS2"
0,1.43280082111516,0.44,0.135,0,"0","SLC38A1"
0,1.43137809770563,0.347,0.066,0,"0","SMIM5"
0,1.4231691194992,0.897,0.599,0,"0","COBLL1"
0,1.27140028182396,0.525,0.175,0,"0","TEX41"
0,1.2654689207764,0.658,0.293,0,"0","DUSP1"
0,1.25277557932725,0.752,0.385,0,"0","ENSG00000236283"
0,1.24503363685365,0.369,0.101,0,"0","ABTB2"
0,1.23847464480606,0.303,0.059,0,"0","PAPPA"
0,1.21722077466963,0.75,0.37,0,"0","MECOM"
0,1.21014465313192,0.42,0.124,0,"0","TBX2"
0,1.19460040039031,0.436,0.138,0,"0","ZNF208"
0,1.15357716838318,0.351,0.086,0,"0","TPM4"
0,1.10569920139671,0.492,0.167,0,"0","SLC8A1"
1.94796211002027e-306,1.35307189050614,0.415,0.136,7.65899742417768e-302,"0","STIM2"
1.00634533261504e-303,0.981787206982469,0.251,0.048,3.95674857877582e-299,"0","HELLS"
4.77074329938718e-301,1.79562420499811,0.294,0.071,1.87576085045305e-296,"0","ZNF331"
3.59236940196464e-300,1.01612517850755,0.279,0.062,1.41244780146446e-295,"0","SLC25A29"
7.84354854355377e-299,1.27820859458978,0.327,0.085,3.08392641635447e-294,"0","IQUB"
