"gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"MYO1E",1.08350311944739,0.431,0.167,1.37357137666142e-34
"ZNF208",0.939718221810317,0.45,0.173,2.64782943735704e-34
"ENSG00000277778",1.02557889391437,0.303,0.092,4.50426031206635e-34
"VEPH1",0.90820833600527,0.344,0.112,6.8710325050883e-34
"OR2A1",0.77706423812549,0.275,0.077,9.78463661482027e-34
"SMIM5",1.07829745230027,0.312,0.1,2.45196259036526e-32
"PTP4A1",0.963775202908673,0.362,0.128,3.21573648903243e-32
"DDX17",0.593574824962183,0.956,0.821,3.77340577124474e-32
"RALBP1",0.904241618270186,0.422,0.165,2.26164549099491e-31
"ZFP36L1",1.20517482041728,0.547,0.278,2.85696147184621e-31
"FRAS1",0.937700070512339,0.575,0.282,1.36968126633224e-30
"PAX8-AS1",0.727342177070022,0.8,0.516,1.94066943730245e-30
"DCUN1D1",0.977031318151793,0.378,0.143,2.75859590464833e-30
"TSC22D1",1.18644237898135,0.431,0.186,8.55548189625269e-29
"TXNIP",1.13868035666201,0.706,0.459,8.57689087348783e-29
"NR4A1",0.959585753174083,0.462,0.2,1.78348949388e-28
"LHX1",0.870756712313234,0.366,0.137,6.18682686423687e-28
"LAMB1",0.835299729239096,0.616,0.327,1.3665155015164e-27
"RAPH1",0.817492798315866,0.259,0.084,3.81044615836856e-25
"KCNC3",0.855325752394732,0.331,0.124,1.1679870265976e-24
"ABTB2",0.841611960029398,0.344,0.133,1.69900233134719e-24
"ENSG00000240499",0.700580451549857,0.281,0.096,7.75379220051002e-24
"PIM3",0.973202522233917,0.391,0.17,1.48656818560407e-23
"UBC",0.714126509935262,0.512,0.258,1.65440280739768e-23
"PLSCR1",0.744309370573024,0.388,0.163,2.24475296282787e-23
"ASAH1",0.754126615486137,0.341,0.132,2.48698682225945e-23
"GLIS3",0.935283312953051,0.5,0.256,3.53915390753059e-23
"IER2",0.785037008130194,0.262,0.089,8.96488124710182e-23
"NASP",0.77108424691596,0.419,0.189,3.80668148650059e-22
"FRY",0.720496956343478,0.356,0.145,8.51949991508896e-22
"HSP90AA1",1.31654430169992,0.512,0.283,1.24278026240345e-21
"MAP4K5",0.812861040259355,0.409,0.192,1.42844630838048e-21
"ERC1",0.785947685561207,0.375,0.162,2.09972580233852e-21
"JUND",0.711786579912704,0.347,0.14,1.01041601317318e-20
"ANKRD13A",0.776206716868604,0.394,0.179,1.66536884761378e-20
"ENSG00000269028",0.724981588158267,0.85,0.616,2.24530185942541e-20
"MPPED2",0.738310748387692,0.341,0.14,3.36923301280952e-20
"LRRFIP1",0.760503010040347,0.584,0.334,3.59829709309251e-20
"OR2A20P",0.774232552029078,0.334,0.138,4.81568736089682e-20
"THSD7A",0.76399558887281,0.484,0.245,6.30439477526869e-20
"ACTG1",0.864479751488618,0.484,0.254,1.06596906641953e-19
"BICD1",0.723175478609271,0.362,0.157,1.07818590448112e-19
"SPTBN2",0.640981575890709,0.272,0.098,1.22910980074968e-19
"C3orf52",0.765702072156754,0.288,0.111,3.34902195084738e-19
"MOB1B",0.730484929740187,0.456,0.226,3.96165818271399e-19
"ADAMTS9-AS2",0.80999541705189,0.462,0.237,7.9235986275832e-19
"CTSH",0.532052689138629,0.412,0.183,1.17230714995904e-18
"HSPA8",1.16991857051902,0.322,0.139,1.28932718337205e-18
"MYO10",0.765477936909348,0.425,0.21,1.80892367168362e-18
"NR2F2",0.709309725599774,0.325,0.135,1.85237318086128e-18
"CHD3",0.562372129780279,0.266,0.097,2.83244847834414e-18
"TEX41",0.663229268114612,0.453,0.218,3.10978250349548e-18
"DMKN",0.616300599575026,0.297,0.117,4.44670747799892e-18
"CRYBG1",0.677673653422282,0.369,0.165,4.8106593296317e-18
"PAX8",0.632843517180032,0.75,0.515,8.15064420358335e-18
"CDH16",0.596767902053974,0.622,0.364,1.28276233943378e-17
"ENSG00000276291",0.75558959688234,0.462,0.253,2.16677133968683e-17
"AKT3",0.740361417663816,0.35,0.157,3.22304166715503e-17
"ENSG00000224078",0.598079753614554,0.728,0.511,3.90769598519659e-17
"ENSG00000262943",0.646573414476003,0.281,0.112,5.31323905969925e-17
"PPARG",0.624822856730763,0.284,0.116,3.73072250849016e-16
"TFAP2A",0.759989910407025,0.253,0.098,3.73282071917114e-16
"DCDC2",0.608748583136689,0.384,0.179,3.93399211757298e-16
"COL4A5",0.672104594580755,0.356,0.161,4.1000446483675e-16
"PTPN13",0.736071654182218,0.544,0.316,4.19260792996277e-16
"RASD1",0.876067250287073,0.306,0.13,4.79605782631532e-16
"ENSG00000284644",0.68509762476909,0.359,0.168,6.32684324507188e-16
"EPCAM",0.716531801978203,0.275,0.113,1.70676210199007e-15
"PKHD1",0.504320320297957,0.806,0.565,2.20117284560589e-15
"PAX2",0.546621539874775,0.637,0.387,2.73322030718722e-15
"EYA3",0.774209332915586,0.378,0.187,3.15487143383002e-15
"DMAC2L",0.767530265129807,0.391,0.202,3.64581551764777e-15
