"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.33301911877158,0.97,0.143,0,"3","SLC5A12"
0,2.98511888278254,0.908,0.122,0,"3","UGT1A8"
0,2.93396700001125,0.995,0.195,0,"3","ACSM2B"
0,2.91974462928428,0.999,0.215,0,"3","ACSM2A"
0,2.81615655823746,0.888,0.072,0,"3","SLC36A2"
0,2.72495381477756,0.7,0.127,0,"3","PCK1"
0,2.72441627551719,0.955,0.138,0,"3","PAH"
0,2.69254394676539,0.983,0.188,0,"3","CUBN"
0,2.6917970005345,0.788,0.062,0,"3","CYP4A11"
0,2.58489629505355,0.875,0.09,0,"3","SLC13A3"
0,2.50343586842121,0.869,0.1,0,"3","ALDOB"
0,2.23019289119803,0.747,0.055,0,"3","SLC22A8"
0,2.2016855947121,0.712,0.045,0,"3","UPB1"
0,2.19773717201989,0.872,0.118,0,"3","SLC16A9"
0,2.15737495773652,0.905,0.231,0,"3","BHMT2"
0,2.14706687699591,0.838,0.105,0,"3","SLC17A1"
0,2.14550547374815,0.777,0.099,0,"3","SLC47A1"
0,2.11427993272717,0.655,0.05,0,"3","SLC17A3"
0,2.1050660904381,0.843,0.168,0,"3","RAB11FIP3"
0,2.09624022096577,0.845,0.214,0,"3","ERRFI1"
0,2.05493580824255,0.836,0.132,0,"3","MME"
0,2.04138800340881,0.712,0.08,0,"3","NOX4"
0,2.03639720944114,0.677,0.053,0,"3","CYP4F3"
0,2.03459074520026,0.872,0.107,0,"3","SLC22A6"
0,2.03135254877857,0.978,0.216,0,"3","LRP2"
0,2.02556811949795,0.633,0.078,0,"3","BHMT"
0,2.0163621122007,0.945,0.165,0,"3","PRODH2"
0,2.01084581487998,0.737,0.095,0,"3","SLC4A4"
0,1.96299639079382,0.496,0.028,0,"3","G6PC1"
0,1.95281151721519,0.941,0.18,0,"3","MIOX"
0,1.9187594215995,0.769,0.085,0,"3","GLYAT"
0,1.91651885333601,0.824,0.135,0,"3","LINC00671"
0,1.90691743973201,0.75,0.084,0,"3","DPEP1"
0,1.90513373128351,0.806,0.18,0,"3","KCNJ15"
0,1.90170058144898,0.944,0.176,0,"3","SLC6A13"
0,1.89168718945576,0.519,0.021,0,"3","CYP4A22"
0,1.87808129212312,0.665,0.086,0,"3","SLC34A1"
0,1.86183573512636,0.927,0.204,0,"3","GPX3"
0,1.84855786030828,0.749,0.17,0,"3","CYP3A5"
0,1.81832228088602,0.552,0.04,0,"3","SLC13A1"
0,1.81079415226597,0.798,0.117,0,"3","AFM"
0,1.79328715873764,0.613,0.047,0,"3","PLG"
0,1.7724334878896,0.706,0.066,0,"3","AGXT2"
0,1.77107863131603,0.709,0.104,0,"3","MAF"
0,1.76750327354967,0.795,0.216,0,"3","FN3K"
0,1.75599632159768,0.658,0.077,0,"3","ASS1"
0,1.74939624216827,0.631,0.051,0,"3","DPYS"
0,1.74795947481403,0.632,0.055,0,"3","SLC6A19"
0,1.74267816207271,0.54,0.026,0,"3","ENSG00000280306"
0,1.73502113905254,0.719,0.119,0,"3","PDZK1"
0,1.70048727414113,0.756,0.166,0,"3","C9"
0,1.69760717972653,0.531,0.051,0,"3","GDA"
0,1.66901729007393,0.579,0.059,0,"3","TINAG"
0,1.66450376424321,0.587,0.076,0,"3","SFXN2"
0,1.65545979478754,0.789,0.122,0,"3","ACSF2"
0,1.651560446362,0.706,0.092,0,"3","PDZK1IP1"
0,1.64785774054065,0.64,0.122,0,"3","ALDH3A2"
0,1.64337771873927,0.725,0.109,0,"3","ABHD14A-ACY1"
