"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.0761221323494,0.744,0.03,0,"10","EGFL7"
0,3.33300006921544,0.603,0.021,0,"10","PTPRB"
0,3.07673620822022,0.431,0.023,0,"10","SLCO2A1"
0,3.0680416383752,0.451,0.015,0,"10","PECAM1"
0,3.04640311679417,0.545,0.038,0,"10","MEIS2"
0,2.79649302054394,0.451,0.044,0,"10","SHANK3"
0,2.70005087834013,0.336,0.02,0,"10","KLF2"
0,2.69364702395391,0.375,0.028,0,"10","ENG"
0,2.65249317968879,0.353,0.012,0,"10","ADCY4"
0,2.62332893187199,0.407,0.037,0,"10","LIMS2"
0,2.6051147138985,0.384,0.047,0,"10","TCF4"
0,2.58703969210443,0.328,0.016,0,"10","FLT1"
0,2.49003705480015,0.298,0.023,0,"10","IFI44L"
0,2.37382021995462,0.369,0.026,0,"10","EMCN"
0,2.34187888358675,0.278,0.022,0,"10","NHERF2"
0,2.26646773833642,0.295,0.016,0,"10","TEK"
0,2.23559244665328,0.277,0.012,0,"10","ARAP3"
0,2.17705591843052,0.271,0.014,0,"10","PLXND1"
0,2.15577272662154,0.284,0.009,0,"10","NOTCH4"
0,2.15099655830225,0.256,0.012,0,"10","GPSM3"
0,2.13898582704305,0.32,0.029,0,"10","LDB2"
0,2.00945179337375,0.255,0.008,0,"10","ENSG00000258168"
3.25126734441319e-288,2.61531483317771,0.318,0.038,1.27833329447638e-283,"10","CEACAM1"
1.19583169439881e-275,2.48854214026224,0.374,0.057,4.70177105603723e-271,"10","NOSTRIN"
1.05612947986642e-272,1.98064777881041,0.252,0.024,4.1524898889388e-268,"10","HLA-DRB5"
2.52165458380667e-270,2.03556316242615,0.255,0.025,9.91464149261105e-266,"10","RAPGEF5"
1.15304477927232e-268,2.02111939445648,0.276,0.03,4.53354146314292e-264,"10","IFI44"
2.09389595617971e-242,2.5016247701455,0.362,0.06,8.23278012050738e-238,"10","PLPP1"
3.35820056695822e-225,2.41897140928553,0.363,0.066,1.32037729891663e-220,"10","EPAS1"
2.08070460994151e-212,2.34404498159173,0.404,0.086,8.18091438536802e-208,"10","HLA-E"
3.81149355430297e-204,2.21349115228508,0.386,0.08,1.49860303568084e-199,"10","MEF2C"
7.04569819249315e-176,1.89108060680068,0.25,0.038,2.77022761532446e-171,"10","HSPG2"
7.53754233328196e-171,2.18773388718384,0.327,0.067,2.9636108945998e-166,"10","CMAHP"
1.82578856897539e-160,2.10818975800203,0.312,0.064,7.17863549549743e-156,"10","ID1"
6.66965989672381e-158,1.25691431418899,0.497,0.138,2.62237687819387e-153,"10","ADGRF5"
1.76352001533649e-151,1.68602218065418,0.254,0.044,6.93380799630002e-147,"10","ZEB1"
4.64927177693605e-135,2.22416175460926,0.492,0.192,1.82800067725572e-130,"10","SEC14L1"
1.17917511240211e-130,2.07907563558956,0.314,0.078,4.6362807069426e-126,"10","DOCK9"
2.033254167747e-130,2.71232046809885,0.395,0.124,7.99434873674764e-126,"10","TIMP3"
5.67261722596483e-129,2.03704332244069,0.325,0.085,2.23035964090485e-124,"10","DOCK4"
4.36855041375181e-122,1.76835203508587,0.263,0.058,1.71762665167894e-117,"10","ASAP1"
4.86627192390007e-117,2.11955235925756,0.438,0.166,1.91332079503903e-112,"10","SERPINB6"
1.48270411292283e-106,1.85672864030619,0.527,0.251,5.82969603119e-102,"10","UTRN"
2.25206249473915e-103,0.744647148059125,1,0.999,8.85465931681539e-99,"10","ENSG00000281383"
4.17277119973676e-78,1.78232973460442,0.272,0.086,1.6406501803125e-73,"10","DOCK6"
7.41892185421335e-73,1.32082260326763,0.285,0.093,2.91697169463961e-68,"10","PODXL"
1.08986741091898e-72,1.6207755466015,0.503,0.288,4.28514068625123e-68,"10","SPTBN1"
1.26477550304372e-67,1.72819462689201,0.357,0.157,4.97284432286729e-63,"10","PTPRM"
1.7010994254117e-66,1.74543559593091,0.467,0.256,6.68838272083372e-62,"10","PARP14"
2.11022354482211e-63,1.45055936257891,0.25,0.085,8.29697693353157e-59,"10","CRIP2"
1.55202920746617e-61,1.61917903175468,0.31,0.126,6.10226843791548e-57,"10","HLA-B"
9.75098043797443e-57,1.63312398593145,0.448,0.26,3.83389048860279e-52,"10","TACC1"
1.96486053182912e-52,1.54194666563236,0.327,0.152,7.72543863904573e-48,"10","HLA-C"
1.96602473583923e-50,1.48396652846363,0.346,0.169,7.73001605637269e-46,"10","LIMA1"
2.20301000189883e-50,1.56551996530899,0.28,0.114,8.6617947254658e-46,"10","IGFBP5"
3.45767099323443e-50,1.60968513080714,0.322,0.152,1.35948708111991e-45,"10","TNS2"
2.48734359743509e-46,1.65453790189678,0.382,0.215,9.7797375563953e-42,"10","PBX1"
1.32511792810221e-45,1.48151416789276,0.503,0.335,5.21009866971229e-41,"10","DUSP1"
8.35833909753123e-41,1.48464542199524,0.536,0.44,3.28633176636733e-36,"10","ARGLU1"
1.33599707707578e-38,1.33427700214538,0.269,0.125,5.25287330764656e-34,"10","CNTNAP3B"
6.9158523359432e-37,1.22029038210978,0.575,0.471,2.71917482144615e-32,"10","SYNE1"
1.06080642361813e-35,1.36383651271762,0.251,0.119,4.17087869638178e-31,"10","RASAL2"
1.11095627509532e-35,1.21415662190712,0.461,0.316,4.36805788241977e-31,"10","UACA"
1.22371698673531e-34,1.49010559057841,0.378,0.244,4.8114104484459e-30,"10","IL6ST"
4.07961332156177e-33,0.88270494003188,0.677,0.687,1.60402236577166e-28,"10","NKTR"
7.07724857343954e-29,1.31748178630052,0.311,0.184,2.78263259410496e-24,"10","B2M"
2.89358818645003e-26,1.52429546192219,0.297,0.175,1.13770100314842e-21,"10","ZFP36"
5.22535827369486e-24,1.26248998720428,0.31,0.199,2.05450636605135e-19,"10","CTNNB1"
8.32820291916812e-24,0.440067010920865,0.922,0.929,3.27448282375852e-19,"10","ENSG00000211459"
3.5284058314873e-23,1.0446700575604,0.299,0.179,1.38729860482418e-18,"10","CALD1"
5.44506998691546e-23,0.903420230769849,0.586,0.55,2.14089261745542e-18,"10","MACF1"
4.10622291403459e-22,0.961466753570043,0.48,0.389,1.61448472534012e-17,"10","ANKRD36"
3.16990477180394e-20,1.22765567630024,0.261,0.163,1.24634315817787e-15,"10","PLSCR1"
1.22341524783784e-19,0.913577196619667,0.481,0.404,4.8102240714488e-15,"10","ARHGAP29"
2.07030366348129e-19,1.16309513830169,0.336,0.233,8.14001994407573e-15,"10","NCOA7"
2.8443382015485e-19,1.45422345200131,0.254,0.154,1.11833689408484e-14,"10","HSPA1A"
4.81138565134974e-19,0.963913779012445,0.512,0.471,1.89174061039769e-14,"10","CFLAR"
1.15537466057096e-18,0.894394681403528,0.492,0.422,4.54270209043289e-14,"10","ANKRD36C"
4.94336313259436e-18,1.18751170563947,0.393,0.32,1.94363151647345e-13,"10","PIK3C2A"
1.68800078964367e-15,1.07214591618503,0.357,0.28,6.63688150472097e-11,"10","ODF2L"
1.18098574137596e-14,0.868057816247628,0.438,0.369,4.64339973794199e-10,"10","ANKRD36B"
3.38143973839709e-14,1.13582567111575,0.29,0.215,1.32951447634297e-09,"10","PTPRG"
2.72711535579446e-13,1.48994836633326,0.335,0.274,1.07224721559126e-08,"10","LIFR"
8.00609961119569e-13,1.12065549154254,0.345,0.286,3.14783824512992e-08,"10","SP100"
2.27789427387479e-12,1.06249253488377,0.294,0.226,8.95622470602091e-08,"10","APP"
3.12845748116366e-11,1.00712061819378,0.272,0.204,1.23004691244393e-06,"10","ITGA1"
4.04733767268333e-11,0.663264150392332,0.587,0.635,1.59133222614563e-06,"10","DDX5"
4.96715938108669e-11,1.25441932425508,0.281,0.211,1.95298772545566e-06,"10","HSPA1B"
2.15746745258253e-08,1.02144988673865,0.267,0.219,0.0008482730530064,"10","CDC37"
2.86610736559806e-08,0.916845031345964,0.251,0.195,0.00112689609400584,"10","RESF1"
1.07655879138926e-07,1.09503258433819,0.281,0.242,0.00423281385598431,"10","ITSN2"
1.13482604725853e-06,0.867282934080046,0.315,0.289,0.044619090526111,"10","FRYL"
2.18077939011886e-06,0.931625021894015,0.251,0.202,0.0857438840606933,"10","NR4A1"
4.11225145762981e-06,0.729941123391589,0.43,0.424,0.161685502811089,"10","ENSG00000281181"
4.28391629893998e-06,0.289648345441906,0.192,0.306,0.168435021041722,"10","HERC4"
5.1002136357222e-06,0.794533722371003,0.335,0.314,0.200530199729326,"10","HERC1"
2.47040941465022e-05,0.806181680401252,0.294,0.269,0.971315573652172,"10","LIMCH1"
6.06619833881373e-05,0.382009688066074,0.229,0.333,1,"10","NDRG1"
6.46335197168987e-05,0.858999939166282,0.299,0.287,1,"10","MEF2A"
0.000149651321025163,0.283218823398193,0.2,0.3,1,"10","MBD5"
0.000177274660291552,0.789679141161428,0.332,0.317,1,"10","PPFIBP1"
0.000351125057376344,0.291521631111288,0.186,0.272,1,"10","PHF20L1"
0.0004126025001701,0.2616870226973,0.306,0.445,1,"10","RBM6"
0.000478619407935682,0.285689311956195,0.255,0.366,1,"10","NPIPB5"
0.000542723140240172,0.398033625045801,0.184,0.272,1,"10","CELF1"
0.000582322127252909,0.736379710582081,0.332,0.331,1,"10","SPAG9"
0.000703612132716392,0.325308003755266,0.254,0.368,1,"10","MON2"
0.000816716361258261,0.257139438519664,0.244,0.352,1,"10","PAPOLA"
0.00141742437554758,0.323740592039228,0.239,0.339,1,"10","SRSF4"
0.00143743935761413,0.304741272629903,0.173,0.25,1,"10","SBF2"
0.00146210053675385,0.273835498496658,0.278,0.394,1,"10","EWSR1"
0.00167610230828197,0.284107570757792,0.57,0.607,1,"10","COX1"
0.00177283845093807,0.625166496176149,0.34,0.338,1,"10","LRRFIP1"
0.00357518650061628,0.738444811147458,0.293,0.292,1,"10","SLC25A37"
0.00386484945420967,0.286703160000547,0.358,0.492,1,"10","ATRX"
0.00597252274715,0.765597530379541,0.293,0.296,1,"10","MAP4"
0.00611627887212863,0.289974682138674,0.284,0.386,1,"10","NIPBL"
0.00625221886919782,0.758331135539615,0.278,0.278,1,"10","AKAP13"
0.00665765725490371,0.303424327804615,0.242,0.331,1,"10","ARHGEF12"
0.00844616428480489,0.74514000460527,0.271,0.272,1,"10","ADD1"
0.00918741908351033,0.26676689884131,0.367,0.504,1,"10","OGA"
