"","celltype","pvalue","fdr"
1,0,0.444538712250943,0.469948078448482
2,1,0.000262829325176433,0.0023654639265879
3,10,0.426769371238133,0.469948078448482
4,11,0.415264155738383,0.469948078448482
5,12,0.396712077809586,0.469948078448482
6,13,0.45404597681064,0.469948078448482
7,14,0.419594596396189,0.469948078448482
8,15,0.441951007351035,0.469948078448482
9,16,0.388873251589318,0.469948078448482
10,17,0.440989318606038,0.469948078448482
11,2,0.419605039398137,0.469948078448482
12,3,2.12779402980942e-06,3.83002925365696e-05
13,4,0.391647332905077,0.469948078448482
14,5,0.448788970311096,0.469948078448482
15,6,0.380055962675342,0.469948078448482
16,7,0.469948078448482,0.469948078448482
17,8,0.0874292944191638,0.469948078448482
18,9,0.129002380742955,0.469948078448482
