,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04650,7.88665189115346e-25,3.50014981281791e-08,0.44,0.285,2.45274873814873e-22,3,hsa04650
hsa04915,2.9333064727752e-24,1.36066399008927e-07,0.295,0.174,9.12258313033087e-22,3,hsa04915
hsa05171,3.20114052834621e-24,1.33768984383921e-07,0.591,0.465,9.95554704315671e-22,3,hsa05171
hsa04010,9.72788867555678e-24,1.91136185601262e-07,0.471,0.373,3.02537337809816e-21,3,hsa04010
hsa05414,2.45573131356577e-22,7.94576161364193e-08,0.249,0.223,7.63732438518956e-20,3,hsa05414
hsa04514,1.37575107930788e-21,3.98327361381969e-08,0.299,0.173,4.27858585664751e-19,3,hsa04514
hsa03410,7.41466656242642e-21,2.98578357163009e-08,0.429,0.253,2.30596130091462e-18,3,hsa03410
hsa04261,3.21003796278771e-20,8.05709467522872e-08,0.436,0.341,9.98321806426978e-18,3,hsa04261
hsa05214,4.42917919565898e-20,1.30978743556145e-07,0.372,0.233,1.37747472984994e-17,3,hsa05214
hsa04742,9.1081564739857e-19,3.50005798607542e-09,0.381,0.336,2.83263666340955e-16,3,hsa04742
hsa05152,2.72144217489654e-18,8.70301460510426e-08,0.495,0.372,8.46368516392825e-16,3,hsa05152
hsa04310,3.06765307064008e-18,8.58883056495204e-08,0.526,0.425,9.54040104969066e-16,3,hsa04310
hsa04510,8.71847546773275e-18,1.85933239981146e-07,0.36,0.279,2.71144587046488e-15,3,hsa04510
hsa04520,1.47421068577576e-17,2.38619107805009e-07,0.489,0.395,4.5847952327626e-15,3,hsa04520
hsa05230,5.76737235416396e-17,1.55225849141464e-07,0.514,0.391,1.79365280214499e-14,3,hsa05230
hsa05205,6.06003004016129e-16,1.94684091798776e-07,0.495,0.412,1.88466934249016e-13,3,hsa05205
hsa00260,6.94408539565634e-16,6.91021395357249e-07,0.486,0.134,2.15961055804912e-13,3,hsa00260
hsa05412,1.15099250527541e-15,7.36134644075641e-08,0.27,0.22,3.57958669140651e-13,3,hsa05412
hsa04070,3.59177175076258e-15,1.47330261684282e-07,0.359,0.253,1.11704101448716e-12,3,hsa04070
hsa05410,5.69695327970238e-15,9.92625596619404e-08,0.19,0.17,1.77175246998744e-12,3,hsa05410
