,PCC,pvalue,adj_logp,adj_pvalue,weight_pcc
TSPAN6,-0.0243744805257699,0.00807813610786848,0,1,0
TNMD,-0.010381608118771,0.581033030260039,0,1,0
DPM1,-0.0473057384828416,0.406181234348591,0,1,0
SCYL3,-0.0255479140330266,8.93716937871179e-06,0.454208592826685,0.35139162563219,-0.0116040820825981
FIRRM,-0.00584164984237697,9.38652881444982e-08,2.43290356398829,0.00369059539926538,-0.0142121707210906
FGR,4.28644768469084e-05,0.284151557608265,0,1,0
CFH,-0.0136158079796613,9.78046780924495e-07,1.41504895365025,0.0384548433323893,-0.0192670348347224
FUCA2,-0.012834256443543,2.03858123024407e-07,2.09608056042985,0.00801529368107365,-0.0269016354388821
GCLC,-0.00879395241138578,0.000101158187023473,0,1,0
NFYA,-0.0210441726921051,0.00467912110492137,0,1,0
STPG1,-0.011603272483564,7.81636090226146e-07,1.51240397795026,0.0307323677955116,-0.017548835461383
NIPAL3,-0.0185470842849813,9.17839223601656e-08,2.44264196845219,0.00360876025935699,-0.0453038864669153
LAS1L,0.00444004217178821,0.0493181826054096,0,1,0
ENPP4,-0.0420968094408232,0.000988670208777426,0,1,0
SEMA3F,0.0105613318783602,0.118031343208106,0,1,0
CFTR,0.0145792230316808,5.32948662066265e-09,3.67872320538253,0.000209544754951214,0.0536329260830916
ANKIB1,-0.00397568636101669,4.3904014103868e-09,3.76290435245539,0.000172621802653588,-0.0149601275118672
CYP51A1,-0.0645661669203546,0.0189416499119241,0,1,0
KRIT1,-0.0235775598775259,9.06577405705015e-14,8.44800369056419,3.56448104375098e-09,-0.199183312859837
RAD52,-0.0254176774957606,0.0125043792691476,0,1,0
MYH16,0.00682818245377897,0.00359708930563386,0,1,0
BAD,-0.0206953991343742,0.0978741591501803,0,1,0
LAP3,-0.00575640274891825,0.000544315647911055,0,1,0
CD99,-0.0314459008681943,8.17827214900076e-06,0.492747023150056,0.321553304354412,-0.0154948740430745
HS3ST1,-0.0416390629938004,0.00154504725849698,0,1,0
AOC1,0.00950194821833942,0.392905785567465,0,1,0
WNT16,-0.00693627998112038,0.556747525016811,0,1,0
HECW1,0.0338684373179658,0.000321046247184609,0,1,0
MAD1L1,-0.0125102991237452,0.0319858282037153,0,1,0
LASP1,-0.0239797332371877,0.000697964302649832,0,1,0
SNX11,-0.0218692521102716,0.236952963203417,0,1,0
TMEM176A,0.0167747945351314,0.000109503557096509,0,1,0
M6PR,-0.0367523044792397,1.89255528107916e-05,0.128360007666713,0.744114885414702,-0.00471752608472456
KLHL13,-0.110187305355603,0.0308430968812067,0,1,0
CYP26B1,0.00551486111273049,0.303771148697808,0,1,0
ICA1,-0.0687769209932896,0.00452938826962025,0,1,0
DBNDD1,-0.0276998979301841,0.00223734983803918,0,1,0
