,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04931,0,0.000895053013807386,0.848,0.52,0,3,hsa04931
hsa04922,0,0.000831784977237149,0.842,0.495,0,3,hsa04922
hsa05160,0,0.000782110652439242,0.836,0.506,0,3,hsa05160
hsa03320,0,0.000756799379646328,0.837,0.526,0,3,hsa03320
hsa04932,0,0.000710218834025377,0.796,0.467,0,3,hsa04932
hsa04920,0,0.00069630816229346,0.833,0.504,0,3,hsa04920
hsa04024,0,0.00041935348150673,0.743,0.365,0,3,hsa04024
hsa04964,0,0.000308371466056564,0.738,0.247,0,3,hsa04964
hsa00360,0,4.58278784079469e-05,0.853,0.229,0,3,hsa00360
hsa05207,2.36914766481538e-271,0.000445908693169479,0.734,0.394,7.36804923757584e-269,3,hsa05207
hsa00020,1.12028962610654e-254,0.000309297172939074,0.726,0.288,3.48410073719132e-252,3,hsa00020
hsa05322,9.3266628269421e-222,3.28358608484967e-05,0.703,0.356,2.90059213917899e-219,3,hsa05322
hsa04061,1.62352974201526e-199,2.70808013242451e-05,0.73,0.403,5.04917749766745e-197,3,hsa04061
hsa00592,1.10851824671279e-195,5.17137949290342e-05,0.625,0.331,3.44749174727678e-193,3,hsa00592
hsa04978,1.73083641568245e-185,0.000228109029809318,0.612,0.193,5.3829012527724e-183,3,hsa04978
hsa00350,2.82786869775537e-171,1.62071398242245e-05,0.63,0.231,8.79467165001921e-169,3,hsa00350
hsa00562,1.33433019156131e-165,0.000212664000728173,0.715,0.381,4.14976689575568e-163,3,hsa00562
hsa05415,1.97405068654768e-150,0.000394768997416452,0.706,0.42,6.13929763516329e-148,3,hsa05415
hsa00260,7.50268027644226e-137,9.72650726978044e-05,0.633,0.202,2.33333356597354e-134,3,hsa00260
hsa05202,7.24996444965354e-133,0.000192618060908326,0.764,0.547,2.25473894384225e-130,3,hsa05202
hsa04217,1.57436908556976e-122,0.00013968521051513,0.79,0.626,4.89628785612196e-120,3,hsa04217
hsa04972,2.4429908921993e-113,4.19423560943414e-05,0.378,0.182,7.59770167473982e-111,3,hsa04972
hsa04390,5.11435904653527e-110,0.000301785428325102,0.642,0.412,1.59056566347247e-107,3,hsa04390
hsa00650,5.85867318767412e-102,0.000199083623996941,0.598,0.229,1.82204736136665e-99,3,hsa00650
hsa05033,5.26253652532686e-92,2.43831584880051e-06,0.229,0.067,1.63664885937665e-89,3,hsa05033
hsa04068,1.73713685960712e-90,0.000112995074021662,0.594,0.349,5.40249563337813e-88,3,hsa04068
hsa00533,5.34723398494285e-89,8.43613961937022e-06,0.412,0.176,1.66298976931723e-86,3,hsa00533
hsa04530,2.11771603295505e-80,0.000219300511570326,0.561,0.351,6.5860968624902e-78,3,hsa04530
hsa00640,1.07928343842738e-79,0.000162138589164771,0.589,0.316,3.35657149350916e-77,3,hsa00640
hsa04934,7.89009653010403e-79,5.9640408390894e-05,0.623,0.43,2.45382002086235e-76,3,hsa04934
hsa04140,7.94184060190362e-70,0.000160691163697233,0.669,0.465,2.46991242719203e-67,3,hsa04140
hsa04060,8.7673526195872e-70,1.15633493621827e-05,0.653,0.456,2.72664666469162e-67,3,hsa04060
hsa04210,7.14532762854323e-69,7.99427081261287e-05,0.494,0.293,2.22219689247694e-66,3,hsa04210
hsa00270,1.62245958768002e-60,1.98220501850484e-06,0.359,0.436,5.04584931768487e-58,3,hsa00270
hsa00130,9.41324891085882e-60,1.49745507581721e-05,0.403,0.179,2.92752041127709e-57,3,hsa00130
hsa04976,4.1593361084248e-49,2.99411369080067e-05,0.442,0.182,1.29355352972011e-46,3,hsa04976
hsa05110,2.75105825784089e-48,3.91862103324985e-05,0.353,0.199,8.55579118188517e-46,3,hsa05110
hsa04979,6.07073089660951e-46,2.01744365221054e-05,0.75,0.509,1.88799730884556e-43,3,hsa04979
hsa04921,2.70056580779693e-42,4.22196496149383e-05,0.469,0.318,8.39875966224844e-40,3,hsa04921
hsa01040,1.09277138429595e-40,2.89314359760636e-05,0.481,0.258,3.39851900516039e-38,3,hsa01040
hsa04672,7.22510425403974e-40,3.60607660429045e-06,0.282,0.126,2.24700742300636e-37,3,hsa04672
hsa05217,5.21390771167741e-37,2.05265046553819e-05,0.498,0.314,1.62152529833167e-34,3,hsa05217
hsa00600,1.10154594737876e-34,2.06007998604079e-05,0.57,0.419,3.42580789634794e-32,3,hsa00600
hsa05216,1.18376623705499e-32,4.83703358162656e-05,0.568,0.393,3.68151299724103e-30,3,hsa05216
