"","celltype","pvalue","fdr"
1,0,0.262966077224238,0.37516010118798
2,1,0.396214486694435,0.397907068340702
3,10,0.318277040250316,0.381932448300379
4,11,0.244489442993588,0.37516010118798
5,12,0.131146487491129,0.37516010118798
6,13,0.194035096786181,0.37516010118798
7,14,0.174017986275067,0.37516010118798
8,15,0.291791189812873,0.37516010118798
9,16,0.216938490261696,0.37516010118798
10,17,0.279288177335056,0.37516010118798
11,2,0.257534616464582,0.37516010118798
12,3,0.224555482825573,0.37516010118798
13,4,0.19247495125595,0.37516010118798
14,5,0.356232394697042,0.397907068340702
15,6,0.254268820770577,0.37516010118798
16,7,0.275893342430354,0.37516010118798
17,8,0.397907068340702,0.397907068340702
18,9,0.206546747550949,0.37516010118798
