,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa00450.7,4.79016666492666e-33,0.000399191786936451,0.058,0.121,1.48974183279219e-30,10,hsa00450
hsa00565.9,2.15386317973061e-31,0.000203749874595509,0.465,0.306,6.6985144889622e-29,10,hsa00565
hsa00052.9,1.48207347765575e-27,0.000146619774261988,0.179,0.211,4.6092485155094e-25,10,hsa00052
hsa04710.7,1.53792572093578e-26,0.000512412523835851,0.354,0.269,4.78294899211027e-24,10,hsa04710
hsa04530.9,4.44232034967144e-22,0.000685468140117148,0.424,0.331,1.38156162874782e-19,10,hsa04530
hsa00310.10,9.81980243256585e-20,0.0016832228735307,0.307,0.264,3.05395855652798e-17,10,hsa00310
hsa03015.6,4.28943490907389e-19,0.00124073622080204,0.363,0.304,1.33401425672198e-16,10,hsa03015
hsa04921.7,5.20350011883803e-19,0.000381134761662925,0.533,0.388,1.61828853695863e-16,10,hsa04921
hsa04060.10,7.96460998352845e-19,0.000219314800344239,0.512,0.4,2.47699370487735e-16,10,hsa04060
hsa00053.10,1.4546307411728e-18,0.000550410220196078,0.072,0.134,4.52390160504741e-16,10,hsa00053
hsa00983.10,3.2500186727634e-18,0.000117705404244031,0.358,0.33,1.01075580722942e-15,10,hsa00983
hsa04072.7,8.17173398581992e-18,0.000324453108785583,0.469,0.311,2.54140926959e-15,10,hsa04072
hsa04360.9,2.81893979890369e-16,0.000593304795873192,0.237,0.167,8.76690277459047e-14,10,hsa04360
hsa04120.9,2.4904298521512e-15,0.00115142210421463,0.352,0.253,7.74523684019023e-13,10,hsa04120
hsa04061.8,4.66680401343357e-15,0.000232414693847185,0.536,0.452,1.45137604817784e-12,10,hsa04061
hsa00270.10,7.82642763819524e-15,0.000378753551228439,0.243,0.323,2.43401899547872e-12,10,hsa00270
hsa05140.6,6.63193255031409e-14,0.000235223324554682,0.486,0.389,2.06253102314768e-11,10,hsa05140
hsa04922.11,3.77840567570552e-13,0.000479213510641574,0.277,0.259,1.17508416514442e-10,10,hsa04922
hsa03460.6,2.05499512917842e-12,0.000369323598655204,0.213,0.23,6.39103485174488e-10,10,hsa03460
hsa04114.9,2.27705417595122e-12,0.00038148009505366,0.485,0.394,7.08163848720829e-10,10,hsa04114
hsa04614.8,3.35948683535444e-12,0.000205760091819883,0.061,0.15,1.04480040579523e-09,10,hsa04614
