replicate	subsample_frac	spearman_cor_mean_trs	ok
148	0.8	0.983488132094943	TRUE
149	0.8	0.993808049535604	TRUE
150	0.8	0.987616099071207	TRUE
151	0.8	0.98968008255934	TRUE
152	0.8	0.995872033023736	TRUE
153	0.8	0.979360165118679	TRUE
154	0.8	0.991744066047472	TRUE
155	0.8	0.985552115583075	TRUE
156	0.8	0.995872033023736	TRUE
157	0.8	0.987616099071207	TRUE
158	0.8	0.997936016511868	TRUE
159	0.8	0.993808049535604	TRUE
160	0.8	0.993808049535604	TRUE
161	0.8	0.981424148606811	TRUE
162	0.8	0.993808049535604	TRUE
163	0.8	0.993808049535604	TRUE
164	0.8	0.983488132094943	TRUE
165	0.8	0.997936016511868	TRUE
166	0.8	0.98968008255934	TRUE
167	0.8	1	TRUE
168	0.8	0.991744066047472	TRUE
169	0.8	0.987616099071207	TRUE
170	0.8	0.987616099071207	TRUE
171	0.8	0.98968008255934	TRUE
172	0.8	0.995872033023736	TRUE
173	0.8	0.987616099071207	TRUE
174	0.8	0.995872033023736	TRUE
175	0.8	0.98968008255934	TRUE
176	0.8	0.995872033023736	TRUE
177	0.8	0.98968008255934	TRUE
178	0.8	0.98968008255934	TRUE
179	0.8	0.997936016511868	TRUE
180	0.8	0.991744066047472	TRUE
181	0.8	0.98968008255934	TRUE
182	0.8	0.993808049535604	TRUE
183	0.8	0.98968008255934	TRUE
184	0.8	0.987616099071207	TRUE
185	0.8	0.991744066047472	TRUE
186	0.8	0.987616099071207	TRUE
187	0.8	0.995872033023736	TRUE
188	0.8	0.991744066047472	TRUE
189	0.8	0.991744066047472	TRUE
190	0.8	0.98968008255934	TRUE
191	0.8	0.991744066047472	TRUE
192	0.8	0.98968008255934	TRUE
193	0.8	0.995872033023736	TRUE
194	0.8	0.997936016511868	TRUE
195	0.8	0.993808049535604	TRUE
196	0.8	0.983488132094943	TRUE
197	0.8	0.997936016511868	TRUE
198	0.8	0.98968008255934	TRUE
199	0.8	0.973168214654283	TRUE
200	0.8	0.98968008255934	TRUE
