"cluster","gene","avg_log2FC","pct.1","pct.2","p_val_adj","label"
"0","AQP2",2.84756110115835,0.598,0.056,0,""
"0","PWRN1",2.4380593080461,0.452,0.03,0,""
"0","SCNN1G",2.43385167381566,0.493,0.036,0,""
"0","APCDD1L-DT",2.41436083217862,0.552,0.063,0,""
"0","FXYD4",2.39732737072997,0.418,0.028,0,""
"0","PDE10A",2.37714055554465,0.565,0.15,0,""
"0","BTG2",2.28259761669259,0.532,0.14,0,""
"0","AQP3",2.17815347500426,0.357,0.035,0,""
"0","GDF15",2.13171837231611,0.485,0.121,0,""
"0","GATA3",2.12808846605244,0.537,0.079,0,""
"0","KRT19",1.96561257278849,0.314,0.051,0,""
"0","PFKFB3",1.93337519380113,0.383,0.054,0,""
"0","ATP1B3",1.88516289700413,0.41,0.116,0,""
"0","IER3",1.84865916378389,0.345,0.084,0,""
"0","CADPS2",1.77641173049223,0.633,0.194,0,""
"0","HSD11B2",1.77636888862846,0.795,0.33,0,""
"0","HES1",1.75128320573233,0.33,0.067,0,""
"0","PNP",1.73400649262914,0.314,0.06,0,""
"0","PRKAG2-AS2",1.73260250057248,0.275,0.022,0,""
"0","PIK3C2G",1.71424960165875,0.723,0.201,0,""
"0","SHCBP1",1.63165929343019,0.277,0.012,0,""
"0","SLC9A4",1.60692631998251,0.317,0.028,0,""
"0","PDE4D",1.60085643489835,0.784,0.444,0,""
"0","SCNN1B",1.55152592913667,0.279,0.022,0,""
"0","WSB1",1.54509711057752,0.924,0.634,0,""
"0","NDRG1",1.53540904323919,0.649,0.28,0,""
"0","TRPM3",1.508797144778,0.612,0.207,0,""
"0","GATA2",1.50298987844782,0.285,0.038,0,""
"0","SCIN",1.50218254675075,0.631,0.265,0,""
"0","TOP6BL",1.49509124746398,0.468,0.13,0,""
"0","PRKAG2",1.48016977605204,0.522,0.169,0,""
"0","GLIS3",1.47436285931831,0.549,0.216,0,""
"0","RALBP1",1.47154046043527,0.444,0.127,0,""
"0","PIGQ",1.45163943677944,0.53,0.208,0,""
