"cluster","gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"3","PRODH2",2.0163621122007,0.945,0.165,0
"3","SLC4A4",2.01084581487998,0.737,0.095,0
"3","G6PC1",1.96299639079382,0.496,0.028,0
"3","MIOX",1.95281151721519,0.941,0.18,0
"4","SLC26A7",5.06950991214024,0.964,0.097,0
"4","ADGRF5",4.11152056555935,0.91,0.085,0
"4","CLNK",3.65076500237168,0.874,0.04,0
"4","ENSG00000249601",3.45235320623205,0.872,0.047,0
"4","ENSG00000265460",3.31405703261925,0.783,0.031,0
"4","TMEM101",3.29062859548855,0.813,0.111,0
"4","DMRT2",3.22586658354446,0.727,0.01,0
"4","ATP6V1C2",3.12574128837199,0.783,0.038,0
"4","SHOC1",2.81095298887622,0.653,0.098,0
"4","UAP1",2.75893565767811,0.564,0.066,0
"4","LIMS3-LOC440895",2.69336536734298,0.584,0.026,0
"4","AQP6",2.68120679778523,0.53,0.009,0
"4","ADGRF1",2.55392302847397,0.697,0.11,0
"4","ITGA6",2.48717877402868,0.756,0.187,0
"4","ENSG00000257207",2.44445373308936,0.558,0.022,0
"4","LIMS1",2.38615016367409,0.635,0.098,0
"4","RHBG",2.38545489047569,0.82,0.192,0
"4","LIMS3",2.28734737528366,0.519,0.02,0
"4","IL18",2.22032611314149,0.662,0.063,0
"4","KIT",2.19926465273609,0.523,0.013,0
"4","ENSG00000281769",2.18294456914992,0.444,0.003,0
"4","ARHGAP18",2.17939882176899,0.774,0.205,0
"4","SMIM34",2.14180526714356,0.478,0.012,0
"4","PTGER3",2.07847287878656,0.775,0.274,0
"4","ATP6V0D2",2.01722671429161,0.572,0.058,0
"4","GPAA1P2",1.98511901149663,0.423,0.012,0
"4","SLIT2",1.97092323766202,0.589,0.095,0
"4","HCAR2",1.938223287325,0.384,0.004,0
"4","ENSG00000273471",1.9169724349852,0.399,0.009,0
"4","ENSG00000283684",1.89894979627872,0.383,0.01,0
"5","UMOD",3.17414218093135,0.821,0.148,0
"5","SLC12A1",3.07507140700583,0.972,0.179,0
"5","GP2",2.77745638241227,0.65,0.08,0
"5","RP1",2.17529137104538,0.516,0.085,0
"5","CLDN16",2.12419769085232,0.37,0.038,0
"5","TMEM207",1.84958702992951,0.279,0.006,0
"5","CASR",1.61796180996648,0.323,0.066,2.73370915377576e-269
"5","SIM2",1.54354080381592,0.309,0.062,6.70372574218784e-258
"5","PLCB1",1.24307727636461,0.316,0.073,9.64932925778654e-217
"5","TFAP2B",1.50031732313689,0.326,0.089,1.01502632509875e-184
"5","KNG1",1.41415438647274,0.479,0.184,2.6343459445864e-176
"5","PDE1A",1.36098258496178,0.461,0.177,1.50543062208762e-172
"5","CLCNKB",1.28302074246959,0.711,0.396,8.84555013135691e-161
"5","LINC01606",1.23938408690084,0.367,0.131,3.82719865138755e-146
"5","PCDH9",1.31560883176825,0.425,0.17,8.93868003705729e-141
"5","ATP1A1",1.1206097222656,0.726,0.491,6.94450419092898e-140
"5","CLCNKA",1.31279832487204,0.647,0.377,6.55147491553515e-133
"5","NAV2",1.62491832443385,0.465,0.223,1.94617431343801e-132
"5","CKB",1.39294468026394,0.434,0.192,1.73877231471737e-130
"5","FXYD2",1.1286773708986,0.703,0.481,1.1777755882716e-127
"5","SLC4A7",1.19173689742519,0.295,0.097,2.45233050794661e-123
"5","F11",1.14627603147021,0.305,0.106,3.67502880143558e-119
"5","TMEM72",1.23027482680525,0.43,0.193,2.48308453217621e-117
"5","ATP1B1",0.901807379270642,0.757,0.575,2.82912250945632e-116
"5","EGF",1.03866352810702,0.496,0.232,1.17301613234643e-114
"5","ENSG00000197099",1.10851798373663,0.34,0.128,1.21948955023118e-114
"5","TCIM",1.2018801142215,0.336,0.129,1.87135064859826e-109
"5","CLCN5",1.2215178657,0.537,0.314,1.13537244920066e-107
"5","MRPS6",1.28763461371267,0.64,0.441,8.86671445972664e-104
"5","DNASE1",1.22108290939304,0.453,0.227,8.32394469267737e-102
"6","SLC8A1",3.23561522499854,0.864,0.163,0
