sample	group	cell_count	mean_nCount	mean_nFeature	mean_percent_mt
GSM3823939_control.s1.dgecounts.rds	control	3740	3685.29010695187	1903.90294117647	2.53009408987043
GSM3823940_control.s2.dgecounts.rds	control	4043	943.270591145189	516.545139747712	7.4711818527826
GSM3823941_control.s3.dgecounts.rds	control	6171	1415.35488575596	855.804245665208	1.70458226260718
GSM3823942_diabetes.s1.dgecounts.rds	diabetes	3770	2806.65411140584	1414.82387267905	0.953958558678503
GSM3823943_diabetes.s2.dgecounts.rds	diabetes	4013	1337.08597059556	748.620234238724	3.56597509450217
GSM3823944_diabetes.s3.dgecounts.rds	diabetes	2549	1903.62848175755	1087.36681051393	3.62293912416812
