,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa00650,0,0.00674403043853063,1,0.426,0,3,hsa00650
hsa00360,0,0.0020506394289254,0.913,0.399,0,3,hsa00360
hsa04977,0,0.00141160936421573,0.949,0.342,0,3,hsa04977
hsa00260,1.4870138525686e-264,0.00474490655537752,0.763,0.175,4.62461308148834e-262,3,hsa00260
hsa00562,6.65721606178635e-262,0.00214274646844071,0.916,0.633,2.07039419521555e-259,3,hsa00562
hsa05418,1.39188538486925e-165,0.00389371231138117,0.803,0.53,4.32876354694338e-163,3,hsa05418
hsa00052,1.35925924086797e-160,0.00202253758915747,0.63,0.222,4.22729623909939e-158,3,hsa00052
hsa04750,7.97083503303817e-112,0.00177502813615308,0.648,0.383,2.47892969527487e-109,3,hsa04750
hsa04664,1.37437857975042e-110,0.00146395564011572,0.648,0.363,4.2743173830238e-108,3,hsa04664
hsa04390,2.36110115662222e-97,0.00185111034607375,0.745,0.535,7.34302459709512e-95,3,hsa04390
hsa04973,2.51588862419811e-88,0.0017289589562905,0.609,0.365,7.82441362125613e-86,3,hsa04973
hsa04152,8.3105273002584e-88,0.00287113397894765,0.624,0.399,2.58457399038036e-85,3,hsa04152
hsa04728,1.77074848948403e-87,0.00196598716936661,0.712,0.526,5.50702780229534e-85,3,hsa04728
hsa04613,8.0795529997605e-82,0.0011514848811955,0.616,0.385,2.51274098292552e-79,3,hsa04613
hsa04725,9.61214900771069e-80,0.00101846835155329,0.689,0.492,2.98937834139803e-77,3,hsa04725
hsa04261,3.68097979851683e-77,0.00143668267635158,0.627,0.424,1.14478471733873e-74,3,hsa04261
hsa04934,2.95384658919744e-73,0.00119974375722971,0.712,0.532,9.18646289240404e-71,3,hsa04934
hsa00512,1.1850053918038e-72,0.000340208208048842,0.578,0.272,3.6853667685098e-70,3,hsa00512
hsa05110,4.26023876200636e-68,0.00135908346598013,0.694,0.467,1.32493425498398e-65,3,hsa05110
hsa04014,2.13888945980882e-67,0.00197514488460165,0.633,0.445,6.65194622000544e-65,3,hsa04014
hsa04722,8.52576617938908e-67,0.00205115255667844,0.596,0.389,2.65151328179e-64,3,hsa04722
hsa04922,5.11010842445795e-65,0.00262025653041798,0.506,0.277,1.58924372000642e-62,3,hsa04922
hsa04915,4.7176625037662e-63,0.00131891009227544,0.75,0.571,1.46719303867129e-60,3,hsa04915
hsa04510,8.86512026469911e-63,0.00333717611154154,0.749,0.587,2.75705240232142e-60,3,hsa04510
hsa00514,9.86608156510424e-61,0.000494334492412068,0.659,0.407,3.06835136674742e-58,3,hsa00514
hsa04360,3.15868923363153e-58,0.00154143549279333,0.6,0.406,9.82352351659406e-56,3,hsa04360
hsa04512,1.83030533841099e-55,0.00123109050212499,0.827,0.659,5.69224960245818e-53,3,hsa04512
hsa00533,4.95986748692352e-54,0.000449336814940524,0.463,0.21,1.54251878843321e-51,3,hsa00533
hsa05150,1.19644051390191e-53,6.79676850616231e-05,0.319,0.428,3.72092999823495e-51,3,hsa05150
hsa05340,3.37875532878029e-51,5.96384342839141e-05,0.196,0.103,1.05079290725067e-48,3,hsa05340
hsa04071,1.8615063113519e-49,0.00129522140607264,0.584,0.384,5.7892846283044e-47,3,hsa04071
hsa04380,4.2020365145966e-48,0.000830417179136315,0.405,0.242,1.30683335603954e-45,3,hsa04380
hsa00140,4.74626470268308e-47,0.000821336963012163,0.627,0.267,1.47608832253444e-44,3,hsa00140
hsa05120,9.42940772796949e-47,0.000825524984829089,0.626,0.438,2.93254580339851e-44,3,hsa05120
hsa00450,7.72071491940539e-44,0.000516998008470105,0.681,0.467,2.40114233993508e-41,3,hsa00450
hsa05145,1.27614588671154e-42,0.00141949189329982,0.646,0.489,3.9688137076729e-40,3,hsa05145
hsa05214,4.78397382257918e-42,0.00170476971092103,0.603,0.45,1.48781585882213e-39,3,hsa05214
hsa04115,1.50248047915203e-41,0.000777432993426312,0.753,0.629,4.6727142901628e-39,3,hsa04115
hsa00603,2.348502549533e-41,0.000295661674492659,0.297,0.099,7.30384292904764e-39,3,hsa00603
hsa05323,1.20423056922015e-39,0.000283729163173391,0.633,0.443,3.74515707027466e-37,3,hsa05323
hsa05215,3.62879904863094e-39,0.0021215603182665,0.72,0.6,1.12855650412422e-36,3,hsa05215
hsa04670,2.78016123311415e-37,0.00117580430449007,0.682,0.544,8.646301434985e-35,3,hsa04670
hsa00600,4.2569400745779e-37,0.00046146807996257,0.652,0.475,1.32390836319373e-34,3,hsa00600
hsa05100,5.09826063228553e-37,0.00138555006734971,0.655,0.498,1.5855590566408e-34,3,hsa05100
hsa04370,3.47531094801014e-36,0.000622003325568179,0.448,0.296,1.08082170483115e-33,3,hsa04370
hsa04723,3.70186572123562e-36,0.000519607765057848,0.638,0.468,1.15128023930428e-33,3,hsa04723
hsa04916,1.09768679868483e-34,0.000846367661828782,0.484,0.346,3.41380594390981e-32,3,hsa04916
hsa05416,1.58521042028407e-33,0.000474843968392003,0.638,0.462,4.93000440708344e-31,3,hsa05416
hsa04913,2.34221853729692e-33,6.49259926358539e-05,0.168,0.24,7.28429965099341e-31,3,hsa04913
hsa04066,3.17569822011531e-33,0.00142658660847803,0.537,0.365,9.8764214645586e-31,3,hsa04066
hsa05142,3.30269907657293e-33,0.000772211139316888,0.589,0.432,1.02713941281418e-30,3,hsa05142
hsa04660,8.21249995145944e-33,0.000955078856163231,0.615,0.474,2.55408748490389e-30,3,hsa04660
hsa04211,2.71875771991067e-30,0.00102685728261471,0.602,0.474,8.45533650892219e-28,3,hsa04211
hsa04923,4.31461348105658e-30,0.000472615065469408,0.655,0.506,1.34184479260859e-27,3,hsa04923
hsa04015,7.0113542006926e-30,0.000991379193378263,0.688,0.577,2.1805311564154e-27,3,hsa04015
